#         ll          ff
#
        3650     0.08459
        3651       1.758
        3652       1.556
        3653     -0.2231
        3654      0.8763
        3655       1.189
        3656      0.2382
        3657     -0.4351
        3658     -0.8086
        3659       1.066
        3660       2.455
        3661       1.596
        3662       2.601
        3663      0.7117
        3664      -1.677
        3665      0.9954
        3666      -1.893
        3667      -1.235
        3668      0.3252
        3669       1.746
        3670       2.437
        3671       1.353
        3672      -1.034
        3673     -0.9775
        3674       1.443
        3675       1.326
        3676       1.819
        3677       1.732
        3678      0.5921
        3679     -0.2644
        3680     -0.6445
        3681      0.1252
        3682     -0.3546
        3683    -0.08356
        3684      0.6742
        3685      0.5006
        3686     -0.1241
        3687     -0.2373
        3688      0.6914
        3689      0.3973
        3690       2.338
        3691      0.4029
        3692      0.6784
        3693     0.09573
        3694      0.2222
        3695     -0.6954
        3696      -1.269
        3697     -0.4801
        3698      0.4911
        3699      -1.586
        3700      -1.138
        3701      0.2945
        3702      0.2441
        3703     -0.1307
        3704     -0.1373
        3705       1.937
        3706      0.3537
        3707       1.109
        3708     0.01887
        3709      0.1166
        3710     -0.9936
        3711      0.3979
        3712     -0.6123
        3713     -0.1272
        3714     -0.1297
        3715      0.9805
        3716      0.8165
        3717       1.156
        3718     -0.7821
        3719      -1.067
        3720      0.5787
        3721       1.275
        3722        2.75
        3723      0.5181
        3724     -0.9853
        3725      0.3694
        3726     0.09017
        3727    -0.05898
        3728      -0.479
        3729     0.06164
        3730     -0.3708
        3731      -1.209
        3732       -2.32
        3733     -0.7158
        3734      0.5203
        3735       -1.01
        3736      0.2295
        3737      0.5544
        3738      0.3779
        3739       1.269
        3740     -0.3326
        3741    0.005011
        3742     -0.4598
        3743      0.4713
        3744       2.532
        3745      -0.171
        3746      -1.411
        3747      0.4587
        3748      -1.581
        3749      0.8298
        3750       1.584
        3751      -1.256
        3752     -0.3521
        3753      0.1954
        3754      0.1387
        3755     -0.3917
        3756      -0.997
        3757      0.2381
        3758    -0.01392
        3759      0.1406
        3760     -0.2445
        3761     -0.8004
        3762      0.3777
        3763      0.8283
        3764     -0.6078
        3765     -0.2707
        3766      -1.127
        3767      0.7126
        3768     -0.8598
        3769      0.7921
        3770     -0.1806
        3771     0.04547
        3772     -0.2317
        3773      0.1561
        3774      0.2081
        3775     -0.3707
        3776     -0.5279
        3777     -0.4041
        3778      0.7989
        3779      0.9972
        3780      0.9578
        3781    -0.06893
        3782     -0.9311
        3783      0.6928
        3784     -0.0807
        3785      0.7491
        3786       1.125
        3787     -0.8634
        3788     -0.2285
        3789       1.113
        3790      0.7059
        3791        1.28
        3792      0.2045
        3793     -0.1078
        3794     -0.2772
        3795      -0.159
        3796      0.3941
        3797      0.1349
        3798      0.1356
        3799     -0.1903
        3800      0.8344
        3801      0.1936
        3802      -1.211
        3803     -0.9766
        3804     -0.2732
        3805      0.5365
        3806     -0.7303
        3807     -0.4324
        3808      0.6579
        3809     -0.5022
        3810       0.275
        3811     -0.7845
        3812     -0.7795
        3813     -0.4211
        3814     -0.5257
        3815     0.06699
        3816     -0.8176
        3817     -0.3297
        3818      0.5289
        3819     -0.4594
        3820     0.04571
        3821     -0.3623
        3822     -0.4116
        3823      0.5798
        3824     -0.4125
        3825     -0.1087
        3826     0.03228
        3827      -0.471
        3828      0.9091
        3829       1.698
        3830     -0.1955
        3831     0.05658
        3832     -0.2892
        3833    -0.01506
        3834      0.5074
        3835     -0.1024
        3836      0.2461
        3837      0.2146
        3838      0.5604
        3839      0.4169
        3840     -0.2313
        3841      0.9121
        3842       1.166
        3843     -0.2647
        3844     -0.6037
        3845     -0.1763
        3846      -0.255
        3847     -0.9517
        3848     -0.5433
        3849     -0.6064
        3850      0.4653
        3851      0.5759
        3852    -0.08229
        3853      0.2205
        3854      0.5337
        3855      0.5081
        3856       0.243
        3857      0.2079
        3858       0.141
        3859      0.3558
        3860       0.495
        3861     -0.7852
        3862     -0.3416
        3863    -0.06183
        3864      -0.774
        3865        0.13
        3866    -0.09809
        3867     -0.7673
        3868     -0.4618
        3869      0.3698
        3870     -0.1065
        3871     -0.5873
        3872     -0.2977
        3873      0.2287
        3874    -0.08324
        3875     -0.6485
        3876     -0.3397
        3877     -0.1454
        3878       1.268
        3879     -0.1553
        3880     -0.1568
        3881    -0.04733
        3882       0.213
        3883      0.2121
        3884     -0.2078
        3885     -0.0596
        3886     -0.3471
        3887      0.3769
        3888      0.6347
        3889     -0.4102
        3890      0.6886
        3891      0.6119
        3892      0.3343
        3893      0.4656
        3894        1.48
        3895       1.085
        3896      0.4186
        3897      0.4224
        3898      0.3522
        3899      0.3545
        3900      0.2867
        3901      0.5547
        3902      0.4786
        3903      0.5539
        3904      0.7771
        3905     -0.4792
        3906      0.7225
        3907      0.2125
        3908     0.05873
        3909     -0.1563
        3910     -0.0713
        3911      0.4986
        3912      0.6308
        3913      0.4275
        3914     -0.3291
        3915      -0.998
        3916      0.5021
        3917      0.9055
        3918     -0.7389
