#      names        StoN
#
 GB6J001115p144608_       18.88
 GB6J003126p150729_        5.37
 GB6J012126p034646_       13.13
 GB6J083548p182519_       1.844
 GB6J083945p511206_       12.84
 GB6J091825p063722_       7.587
 GB6J102107p220904_       2.924
 GB6J102623p254255_       3.825
 GB6J132512p112338_       3.506
 GB6J134811p193520_       7.418
 GB6J141212p062408_       16.44
 GB6J143023p420450_       5.433
 GB6J151002p570256_        6.29
 GB6J153533p025419_        11.3
 GB6J161216p470311_       5.384
 GB6J162956p095959_       8.327
 GB6J164856p460341_       4.073
 GB6J171103p383016_       9.035
 GB6J235758p140205_       8.649
