# z 		logbh 	  	  err	      logedd_ratio 
 4.83270        10.047            0.600       -1.104 
 4.32500         9.696            0.133       -0.914 
 4.23550         9.063            0.071        0.025 
 4.13360         9.523            0.628       -0.627 
 4.32730         9.196            0.181       -0.167 
 4.57200         8.347            1.491        0.763 
 4.28320         8.576            0.633        0.358 
 4.75510         8.553            0.133        0.235 
 4.03950         9.440            0.186       -0.521 
 4.07290         9.282            0.533       -0.393 
 4.14790         9.258            0.209       -0.395 
 4.16400         9.661            0.543       -0.988 
 4.33170         8.897            0.472        0.152 
 4.18360         9.541            0.072       -0.353 
 4.13740         9.391            0.170       -0.406 
 4.44880         9.238            0.053        0.245 
 4.72930         8.656            0.169       -0.392 
 4.10200         9.215            0.181       -0.328 
 4.46000        10.643            0.133       -1.102 
 4.04550        10.193            0.143       -1.224 
 4.49190         8.619            0.060        0.483 
 4.08160         9.852            0.048       -0.369 
 4.20970         8.715            0.198       -0.108 
 4.26410         8.806            0.270        0.248 
 4.16790         8.926            1.054       -0.716 
 4.49540         9.360            0.158       -0.386 
 4.14810         8.978            0.126       -0.020 
 4.19360         8.726            0.101        0.522 
 4.32570         9.688            0.296       -1.157 
 4.16120         9.403            0.453       -0.582 
 4.03550         8.292            0.103        0.304 
 4.17340         9.390            0.656       -0.304 
 4.02210         9.363            0.062       -0.452 
 4.06780        10.161            0.060       -0.531 
 4.51540         9.618            0.164       -0.561 
 4.14900         8.972            0.537       -0.061 
 4.22990         9.086            0.374        0.012 
 4.18170         8.564            0.084        0.275 
 4.30470         9.653            0.254       -0.845 
 4.72240         9.895            0.326       -0.848 
 4.03130         9.821            0.077       -0.618 
 4.15670         9.662            0.164       -0.469 
 4.21790         9.914            0.131       -1.178 
 4.07480         8.981            0.247       -0.264 
 4.06960         8.857            0.234       -0.195 
 4.04570        10.312            0.400       -1.369 
 4.19080         9.316            0.613       -0.176 
 4.02580         9.284            0.074       -0.270 
 4.24200        10.144            0.303       -1.242 
 4.01810         9.791            0.143       -0.601 
 4.47610         8.987            0.121       -0.495 
 4.50360         9.872            0.567       -0.901 
 4.22920         9.838            0.210       -1.018 
 4.50270         9.085            0.319       -0.187 
 4.36760         8.917            1.680        0.189 
 4.01010         9.565            0.051       -0.476 
 4.79120         9.929            0.087       -1.235 
 4.15410        10.456            0.152       -0.807 
 4.43190         8.968            0.172        0.216 
 4.65920         9.835            0.407       -0.970 
 4.26360         8.768            0.418        0.079 
 4.16270         9.219            0.084        0.120 
 4.19400         8.294            0.254        0.439 
 4.07120        10.327            0.461       -1.762 
 4.03090         9.653            0.172       -0.505 
 4.02820         8.679            0.190        0.103 
 4.05270         9.234            0.332       -0.598 
 4.23580         9.677            0.312       -0.716 
 4.80140        10.080            0.315       -1.096 
 4.29250         9.459            0.273       -0.322 
 4.17000         9.896            0.113       -0.787 
 4.45070         9.396            0.630       -0.388 
 4.34350        10.146            0.150       -1.414 
 4.86150         9.034            0.105        0.042 
 4.68490         9.519            0.237       -0.179 
 4.16270         8.942            0.098       -0.219 
 4.17450         9.587            0.186       -0.551 
 4.01130         9.181            0.129       -0.639 
 4.76700        10.144            0.459       -1.001 
 4.87510         9.997            0.150       -0.817 
 4.00380         9.041            0.124       -0.206 
 4.45620        10.280            0.189       -0.625 
 4.07400         9.202            0.084        0.246 
 4.33810         8.803            0.080        0.165 
 4.92220        10.651            0.401       -1.503 
 4.26500        10.054            0.265       -0.788 
 4.38910         9.827            0.483       -0.601 
 4.23840         8.791            0.077       -0.024 
 4.35750         9.352            0.507       -0.750 
 4.58140        10.163            0.076       -0.639 
 4.15000         9.947            0.181       -0.817 
 4.15910         9.483            0.162       -0.553 
 4.07460         9.505            0.401       -0.764 
 4.33660         9.506            0.331       -0.516 
 4.25490         9.867            0.218       -0.837 
 4.03140         9.087            0.458       -0.425 
 4.37010         9.622            0.199       -0.872 
 4.64120         9.165            0.318       -0.190 
 4.48810        10.227            0.133       -0.900 
 4.59950         8.985            0.093       -0.072 
 4.24780        10.340            0.179       -0.879 
 4.53290         9.363            1.495       -0.505 
 4.39080         9.509            0.466       -0.553 
 4.37580         8.998            0.165        0.016 
 4.35920         9.654            0.345       -0.840 
 4.30530        10.027            0.244       -1.240 
 4.42440         9.857            0.112       -0.940 
 4.44430         9.792            0.321       -0.633 
 4.88470         9.727            0.621       -0.311 
 4.11990         9.710            0.254       -0.978 
 4.37440         9.180            0.648       -0.441 
 4.05180         9.899            0.113       -0.859 
 4.06520         9.445            0.349       -0.420 
 4.52100         9.634            0.368       -0.436 
 4.05350         8.717            0.045        0.297 
 4.25060         9.745            0.099       -0.577 
 4.43580        10.190            0.147       -0.906 
 4.02930         9.467            0.165       -0.448 
 4.36190        10.106            0.058       -0.425 
 4.33890         9.604            0.392       -0.559 
 4.77650         8.346            1.288        0.830 
 4.24810         9.852            0.185       -0.411 
 4.39030         9.947            0.180       -0.515 
 4.54030         9.791            0.787       -0.598 
 4.41860        10.297            0.337       -1.020 
 4.21970         8.755            0.118        0.038 
 4.48820         9.182            0.407       -0.728 
 4.77450         9.321            1.225       -0.462 
 4.46460         9.375            0.109       -0.253 
 4.14730         9.410            0.329       -0.621 
 4.26750         8.932            0.252       -0.228 
 4.74280        10.026            0.485       -0.919 
 4.12410         9.583            0.108       -0.229 
 4.06800         9.979            0.207       -1.171 
 4.49950        10.215            0.186       -1.053 
 4.29220         8.652            0.179        0.411 
 4.21990         9.320            0.069       -0.487 
 4.20730         9.575            0.051       -0.115 
 4.41930        10.248            0.132       -0.821 
 4.06350         9.910            0.177       -0.972 
 4.28540         9.844            0.144       -0.678 
 4.10530         9.248            0.082       -0.269 
 4.33240         8.082            0.799        0.607 
 4.81660         9.577            0.475       -0.628 
 4.55000         9.835            0.194       -0.669 
 4.19400         9.039            0.121       -0.021 
 4.06410         9.089            1.228       -0.027 
 4.77550         9.782            0.103       -0.327 
 4.80070         9.451            0.285       -0.678 
 4.40200         9.192            0.152       -0.217 
 4.03210         8.490            0.381        0.165 
 4.07820         8.665            0.150        0.474 
 4.19580         8.702            0.413        0.165 
 4.45120         9.508            0.158       -0.543 
 4.28210         9.410            0.130       -0.418 
 4.38000        10.397            0.564       -1.369 
 4.15420         8.893            0.546       -0.007 
 4.05000         8.786            0.300        0.300 
 4.27060         9.849            0.146       -0.642 
 4.09190         9.854            0.510       -0.928 
 4.37810         9.527            0.440       -0.671 
 4.26180         8.512            0.094        0.326 
 4.04040         8.655            0.232       -0.016 
 4.51150        10.201            0.159       -0.652 
 4.22820         9.594            0.104       -0.354 
 4.02030         9.600            0.341       -0.974 
 4.58400         9.309            0.153       -0.167 
 4.01990         9.105            0.117       -0.267 
 4.07550         9.261            0.384       -0.496 
 4.10120         9.698            0.160       -0.545 
 4.78930         8.945            0.994        0.305 
 4.20360         9.444            0.341       -0.480 
 4.26990         9.302            0.120       -0.234 
 4.09040         9.916            0.174       -0.943 
 4.13180         9.332            0.147       -0.424 
 4.19200         9.834            0.322       -0.726 
 4.00910         9.701            0.105       -0.677 
 4.13230         8.980            0.233       -0.285 
 4.16860         9.368            0.339       -0.337 
 4.19120         9.105            0.201       -0.160 
 4.04420         9.738            0.159       -0.566 
 4.05170         9.281            0.141       -0.221 
 4.06270         9.400            0.419       -0.581 
 4.19790         9.608            0.063       -0.372 
 4.66030        10.020            0.202       -1.205 
 4.39000         8.070            0.111        0.757 
 4.22700         8.282            1.028        0.485 
 4.04090        10.081            0.416       -1.327 
 4.39000        10.048            0.083       -0.999 
 4.00990         9.513            0.116       -0.537 
 4.17590         9.614            0.158       -0.745 
 4.56020        10.073            0.744       -0.946 
 4.49480         9.422            0.454       -0.650 
 4.00530         9.635            0.057       -0.284 
 4.54210         8.717            0.236       -0.012 
 4.12310         9.115            0.101       -0.181 
 4.40640        10.011            0.270       -0.633 
 4.10640         8.838            0.277        0.149 
 4.71650        10.312            0.242       -1.232 
 4.04610         9.899            0.303       -1.074 
 4.15500        10.383            0.432       -0.824 
 4.58980         9.692            0.286       -0.558 
 4.74790         9.273            0.266       -0.165 
 4.80860         9.061            0.328       -0.094 
 4.79920        10.634            0.378       -0.994 
 4.61600         9.487            0.732       -0.615 
 4.04970        10.114            0.078       -0.397 
 4.06940         8.245            0.094        0.220 
 4.33880         8.287            0.766        0.530 
 4.55790        10.214            0.508       -1.216 
 4.85930         9.464            0.235       -0.545 
 4.15000        10.471            0.324       -1.682 
 4.14840         9.678            0.269       -0.592 
 4.08610         8.427            0.823        0.338 
 4.33640         9.593            0.077       -0.087 
 4.47810         9.746            0.077       -0.587 
 4.02680         9.331            0.078        0.108 
 4.22700        10.227            0.063       -0.617 
 4.15860         8.686            0.095        0.030 
 4.26990         9.594            0.104       -0.747 
 4.01880         8.258            0.258        0.621 
 4.05600         9.724            0.021        0.162 
 4.31390        10.533            0.316       -1.457 
 4.14750         8.216            0.114        0.186 
 4.00090         9.599            0.105       -0.800 
 4.74390         9.365            0.644       -0.188 
 4.13720         9.806            0.453       -0.706 
 4.11930         8.843            0.526        0.006 
 4.01340         8.330            0.199        0.378 
 4.23480         8.731            0.758        0.407 
 4.21580         9.382            0.269       -0.539 
 4.51680         8.697            0.242        0.075 
 4.12970         9.560            0.213       -0.429 
 4.50870        10.227            0.369       -1.189 
 4.25530         9.990            0.216       -1.696 
 4.56250         8.679            0.164        0.647 
 4.03100         8.790            1.415        0.177 
 4.10350         9.240            0.342       -0.394 
 4.18540         9.310            0.432       -0.228 
 4.57490         9.772            0.331       -0.828 
 4.40290         9.665            0.187       -0.420 
 4.22380         9.081            0.241       -0.444 
 4.45200         9.620            0.535       -0.811 
 4.07630         9.369            0.130       -0.582 
 4.44980         8.487            0.933        0.639 
 4.13770         9.377            0.283       -0.690 
 4.52810         9.601            0.689       -0.609 
 4.01550         9.145            0.115       -0.003 
 4.38290         9.924            0.323       -0.918 
 4.07210         8.941            0.258       -0.742 
 4.13560         9.579            0.076       -0.559 
 4.88140         9.405            0.334       -0.362 
 4.45500         9.175            0.632        0.028 
 4.00810         9.333            0.212       -0.386 
 4.94260        10.779            0.278       -1.300 
 4.15680         9.908            0.096       -0.749 
 4.39380         9.017            0.149        0.144 
 4.08330        10.210            0.319       -1.267 
 4.53690        10.374            0.229       -1.428 
 4.08820         9.536            0.092       -0.833 
 4.18200         8.632            1.221        0.134 
 4.45190         9.756            0.147       -0.662 
 4.03480         9.746            0.203       -0.621 
 4.37710         9.268            0.358       -0.422 
 4.26630         9.914            0.095       -0.412 
 4.14670         8.725            0.060        0.025 
 4.33950         9.287            0.313       -0.248 
 4.46950         9.714            0.082       -0.413 
 4.09460         9.891            0.249       -0.908 
 4.88520         9.960            0.498       -0.960 
 4.05120         8.453            0.087        0.194 
 4.10450        10.258            0.071       -0.705 
 4.39980         8.698            0.809       -0.031 
 4.03550         9.924            0.423       -1.161 
 4.02610         9.864            0.173       -0.872 
 4.13690         9.163            0.607       -0.428 
 4.41950         9.346            0.284       -0.177 
 4.18420         9.789            0.369       -0.657 
 4.62410         8.637            0.135        0.331 
 4.29330         9.541            0.659       -0.504 
 4.53750         8.840            0.247        0.061 
 4.29790         9.831            0.073       -0.515 
 4.81410         9.970            0.087       -0.593 
 4.23540         9.443            0.087       -0.313 
 4.04690         9.589            0.098       -0.178 
 4.84910         8.522            1.838        0.256 
 4.10730         9.380            0.203        0.025 
 4.26130         9.175            0.965       -0.229 
 4.66420         9.816            0.374       -0.592 
 4.47110         9.357            0.675       -0.069 
 4.05750         9.070            0.167       -0.585 
 4.81840         8.441            0.522        0.306 
 4.33570         9.684            0.504       -0.861 
 4.10080         9.720            0.337       -0.733 
 4.37010         9.527            0.167       -0.628 
 4.12410         8.685            0.096        0.019 
 4.34060        10.042            0.270       -0.692 
 4.02370         9.620            0.355       -1.100 
 4.26600        10.530            0.318       -1.599 
 4.09460         9.571            0.304       -0.612 
 4.34730         9.581            0.046       -0.596 
 4.16590         9.140            0.192       -0.132 
 4.79650         9.072            1.176        0.130 
 4.32000        10.039            0.574       -0.808 
 4.25330         9.907            0.072       -0.443 
 4.81500         8.881            0.245       -0.157 
 4.18030         9.275            0.459       -0.391 
 4.57660         8.477            0.604        0.328 
 4.30430         8.829            0.031        0.269 
 4.04120         9.918            0.148       -0.781 
 4.15580         9.771            0.177       -0.691 
 4.07390         9.296            0.425       -0.509 
 4.00820         9.601            0.095       -0.969 
 4.09500         9.761            0.298       -0.719 
 4.09710        10.071            0.119       -0.633 
 4.07110         9.321            0.289       -0.700 
 4.13780        10.121            0.045       -0.297 
 4.06270         9.829            0.275       -0.718 
 4.33810         8.956            0.166        0.490 
 4.09610         8.703            0.930        0.396 
 4.89540         8.556            1.368        0.538 
 4.73500         9.986            0.500       -0.893 
 4.12870         9.764            0.329       -0.723 
 4.78220        10.150            0.090       -0.989 
 4.29260         8.425            0.047        0.588 
 4.77130         8.230            0.570        0.463 
 4.70680         9.892            0.168       -0.511 
 4.12500         9.409            0.162       -0.500 
 4.64790         9.768            0.127       -0.583 
 4.29690         8.364            0.118        0.135 
 4.10430         8.812            0.221       -0.018 
 4.05730         9.729            0.172       -0.822 
 4.25150         8.437            0.447        0.092 
 4.02280         9.489            0.484       -0.595 
 4.80550         8.584            1.237        0.532 
 4.07680         9.479            0.148       -0.662 
 4.54810         9.794            0.119       -1.103 
 4.29460         9.067            0.316       -0.295 
 4.26780         9.549            0.135       -0.195 
 4.24000         9.402            0.436       -0.646 
 4.65760         8.974            0.380       -0.161 
 4.20210         9.096            0.107       -0.102 
 4.01990         9.519            0.147       -0.436 
 4.58560         9.625            0.247       -0.658 
 4.39500         8.940            0.523        0.167 
 4.08560         8.869            0.210        0.126 
 4.11700        10.279            0.115       -0.684 
 4.04780         9.332            0.307       -0.757 
 4.12960         9.624            0.384       -0.632 
 4.11840         9.511            0.352       -0.437 
 4.03540         9.329            0.048       -0.416 
 4.42170         9.151            0.366       -0.584 
 4.88080         9.293            0.324       -0.159 
 4.60260         9.805            0.376       -0.674 
 4.17500         8.409            0.282        0.538 
 4.64000         8.331            1.822        0.769 
 4.24380         9.099            0.539       -0.579 
 4.02250         8.472            0.510        0.248 
 4.48240         9.678            0.450       -0.740 
 4.70640         9.541            0.785       -0.595 
 4.63530         9.159            0.300       -0.044 
 4.00190         9.020            0.431       -0.422 
 4.01760         9.323            0.133       -0.213 
 4.02490         9.165            0.028       -0.008 
 4.10050        10.072            0.067       -0.642 
 4.05820         9.698            0.170       -1.357 
 4.20810        10.516            0.252       -0.878 
 4.09620        10.028            0.242       -1.043 
 4.22030         9.794            0.185       -0.665 
 4.55140         9.680            0.135       -0.429 
 4.30330         9.149            0.370       -0.407 
 4.52930         9.249            0.325       -0.351 
 4.05670         8.847            0.273        0.091 
 4.57980         8.928            0.725        0.116 
 4.76180         9.405            0.487       -0.328 
 4.81290         9.492            0.503       -0.408 
 4.61840        10.056            0.178       -0.893 
 4.25330         9.763            0.231       -0.742 
 4.06560         9.690            0.181       -0.610 
 4.61640        10.108            0.575       -1.191 
 4.33180         8.228            0.289        0.900 
 4.24490         9.953            0.165       -0.922 
 4.32390         9.452            0.116       -0.412 
 4.34760         9.564            0.235       -0.682 
 4.04220         9.528            0.369       -0.796 
 4.64280         8.589            0.492        0.349 
 4.88380         9.299            1.630       -0.322 
 4.20880         8.851            0.088        0.137 
 4.01790         9.790            0.104       -0.668 
 4.12650        10.518            0.175       -1.360 
 4.06510         9.374            0.133       -0.303 
 4.01690        10.089            0.139       -0.780 
 4.13340         9.303            0.528       -0.458 
 4.15400        10.493            0.459       -1.623 
 4.64330         9.353            0.485       -0.560 
 4.05750         8.976            0.110       -0.050 
 4.15680         8.627            0.836        0.419 
 4.08970         9.593            0.184       -0.831 
 4.27030         8.060            0.137        0.380 
 4.16610         8.193            1.069        0.740 
 4.05670         9.289            0.432       -0.488 
 4.06390         9.394            0.117       -0.560 
 4.35240        10.031            0.155       -0.994 
 4.52120         9.220            0.217        0.048 
 4.03870         9.817            0.415       -0.624 
 4.21720         9.782            0.765       -0.981 
 4.34960         9.175            0.315       -0.331 
 4.58990         9.417            0.513       -0.232 
 4.62630         9.873            0.450       -0.872 
 4.02590         8.641            0.476       -0.076 
 4.25000         9.215            0.381       -0.261 
 4.43320         9.023            0.151       -0.459 
 4.79220        10.326            0.393       -1.792 
 4.06100         9.985            0.090       -0.491 
 4.03630         9.035            0.178       -0.092 
 4.40390         9.409            0.301       -0.524 
 4.26540         9.608            0.231       -0.784 
 4.55300         9.635            0.063       -0.124 
 4.26780         8.684            0.481        0.259 
 4.07280         9.673            0.310       -0.784 
 4.28500         9.118            0.561       -0.698 
 4.31480         8.310            1.875        0.528 
 4.03740         9.542            0.181       -0.691 
 4.15740         9.068            0.354       -0.452 
 4.25540         8.457            0.113        0.382 
 4.12720         9.902            0.069       -0.690 
 4.05220        10.042            0.189       -0.778 
 4.18540         9.351            0.193       -0.308 
 4.36160        10.013            0.989       -0.913 
 4.04580         8.388            1.070        0.421 
 4.69480        10.064            0.153       -1.177 
 4.40210        10.129            0.578       -1.153 
 4.24530         9.451            0.190       -0.341 
 4.12000         8.304            0.063        0.635 
 4.89250         9.253            0.440       -0.023 
 4.42280         9.598            0.061       -0.670 
 4.35870         9.718            0.235       -0.576 
 4.72970         8.961            0.530        0.198 
 4.09380         9.621            0.772       -0.723 
 4.78020         9.393            0.258       -0.426 
 4.44260         9.484            0.110       -0.416 
 4.57880        10.470            0.131       -0.967 
