#    names    redshift         sigma     errsigma          fwhm      errfwhm       lumriga      errlumr       lum1350      errlumc          Lbol              Lbolmax     Lbolmin        M_sigma          errM_sigmat errM_sigmab         M_FWHM           errM_fwhmt  errM_fwhmb      eddratios             eddrmaxs    eddrmins      eddratiof             eddrmaxf          eddrminf
#
GB6J001115p144608_&$4.96$ &$5025\pm792$ &$8090\pm492$ &$45.090\pm30.040$ &$1537.534\pm119.591$ &$6150.14\substack{+1542.18\\778.01}$ &$6625432576.00\substack{+0.12\\-0.16}$ &$14618661888.00\substack{+0.05\\-0.06}$ &$0.74\substack{+0.18\\0.09}$ &$0.33\substack{+0.08\\0.04}$\\ 

GB6J003126p150729_&$4.29$ &$4149\pm361$ &$2419\pm152$ &$44.518\pm8.737$ &$207.303\pm26.183$ &$829.21\substack{+208.95\\106.91}$ &$1561791616.00\substack{+0.07\\-0.08}$ &$452019808.00\substack{+0.05\\-0.06}$ &$0.42\substack{+0.11\\0.05}$ &$1.46\substack{+0.37\\0.19}$\\ 

GB6J012126p034646_&$4.13$ &$2575\pm57$ &$1548\pm17$ &$45.443\pm3.649$ &$552.025\pm27.756$ &$2208.10\substack{+552.72\\277.40}$ &$1010993600.00\substack{+0.02\\-0.02}$ &$311139456.00\substack{+0.01\\-0.01}$ &$1.73\substack{+0.43\\0.22}$ &$5.63\substack{+1.41\\0.71}$\\ 

GB6J083548p182519_&$4.41$ &$3331\pm220$ &$5864\pm1071$ &$44.410\pm4.982$ &$53.383\pm48.420$ &$213.53\substack{+72.07\\55.29}$ &$490589632.00\substack{+0.06\\-0.07}$ &$1294026368.00\substack{+0.14\\-0.20}$ &$0.35\substack{+0.12\\0.09}$ &$0.13\substack{+0.04\\0.03}$\\ 

GB6J083945p511206_&$4.40$ &$3912\pm202$ &$6077\pm189$ &$44.929\pm8.451$ &$483.885\pm50.284$ &$1935.54\substack{+486.49\\247.11}$ &$2175917568.00\substack{+0.04\\-0.05}$ &$4470026752.00\substack{+0.03\\-0.03}$ &$0.71\substack{+0.18\\0.09}$ &$0.34\substack{+0.09\\0.04}$\\ 

GB6J091825p063722_&$4.20$ &$7020\pm794$ &$6251\pm750$ &$44.760\pm21.870$ &$394.888\pm29.215$ &$1579.55\substack{+395.97\\199.59}$ &$6292765184.00\substack{+0.09\\-0.11}$ &$4246891520.00\substack{+0.09\\-0.12}$ &$0.20\substack{+0.05\\0.03}$ &$0.30\substack{+0.07\\0.04}$\\ 

GB6J102107p220904_&$4.26$ &$4904\pm479$ &$2942\pm178$ &$44.553\pm8.781$ &$89.513\pm23.352$ &$358.05\substack{+92.51\\50.48}$ &$1398206592.00\substack{+0.08\\-0.09}$ &$428279744.00\substack{+0.05\\-0.06}$ &$0.20\substack{+0.05\\0.03}$ &$0.66\substack{+0.17\\0.09}$\\ 

GB6J102623p254255_&$5.28$ &$2913\pm370$ &$4471\pm257$ &$44.901\pm11.400$ &$367.213\pm80.775$ &$1468.85\substack{+375.99\\200.59}$ &$1042346624.00\substack{+0.10\\-0.13}$ &$2090121088.00\substack{+0.05\\-0.05}$ &$1.12\substack{+0.29\\0.15}$ &$0.56\substack{+0.14\\0.08}$\\ 

GB6J132512p112338_&$4.42$ &$2647\pm48$ &$3580\pm78$ &$45.098\pm5.970$ &$298.624\pm57.121$ &$1194.49\substack{+304.04\\159.87}$ &$771249024.00\substack{+0.02\\-0.02}$ &$1201424256.00\substack{+0.02\\-0.02}$ &$1.23\substack{+0.31\\0.16}$ &$0.79\substack{+0.20\\0.11}$\\ 

GB6J134811p193520_&$4.40$ &$5235\pm467$ &$5419\pm289$ &$44.513\pm6.571$ &$197.837\pm50.060$ &$791.35\substack{+204.07\\110.86}$ &$2426288128.00\substack{+0.07\\-0.09}$ &$2212562688.00\substack{+0.04\\-0.05}$ &$0.26\substack{+0.07\\0.04}$ &$0.28\substack{+0.07\\0.04}$\\ 

GB6J141212p062408_&$4.37$ &$8846\pm1006$ &$5980\pm378$ &$44.209\pm5.509$ &$247.580\pm37.518$ &$990.32\substack{+250.41\\129.35}$ &$7801827840.00\substack{+0.09\\-0.11}$ &$3034753792.00\substack{+0.05\\-0.06}$ &$0.10\substack{+0.03\\0.01}$ &$0.26\substack{+0.07\\0.03}$\\ 

GB6J143023p420450_&$4.72$ &$2856\pm249$ &$6696\pm586$ &$44.350\pm7.331$ &$348.870\pm62.845$ &$1395.48\substack{+354.49\\185.41}$ &$975229888.00\substack{+0.07\\-0.08}$ &$4563523584.00\substack{+0.07\\-0.08}$ &$1.14\substack{+0.29\\0.15}$ &$0.24\substack{+0.06\\0.03}$\\ 

GB6J151002p570256_&$4.31$ &$2687\pm121$ &$2071\pm112$ &$44.640\pm6.007$ &$225.019\pm22.319$ &$900.07\substack{+226.12\\114.70}$ &$684238400.00\substack{+0.04\\-0.04}$ &$345928480.00\substack{+0.04\\-0.05}$ &$1.04\substack{+0.26\\0.13}$ &$2.07\substack{+0.52\\0.26}$\\ 

GB6J153533p025419_&$4.37$ &$4974\pm286$ &$6909\pm573$ &$44.206\pm3.558$ &$178.119\pm21.095$ &$712.47\substack{+179.36\\91.52}$ &$2071505408.00\substack{+0.05\\-0.05}$ &$3402109952.00\substack{+0.07\\-0.08}$ &$0.27\substack{+0.07\\0.04}$ &$0.17\substack{+0.04\\0.02}$\\ 

GB6J161216p470311_&$4.33$ &$3091\pm176$ &$3251\pm668$ &$44.222\pm3.507$ &$114.109\pm19.705$ &$456.44\substack{+115.80\\60.36}$ &$631621312.00\substack{+0.05\\-0.05}$ &$595028096.00\substack{+0.15\\-0.23}$ &$0.57\substack{+0.15\\0.08}$ &$0.61\substack{+0.15\\0.08}$\\ 

GB6J162956p095959_&$4.97$ &$2324\pm1281$ &$3193\pm441$ &$43.786\pm4.745$ &$153.766\pm17.595$ &$615.06\substack{+154.77\\78.87}$ &$418493056.00\substack{+0.32\\-1000.00}$ &$672264640.00\substack{+0.11\\-0.14}$ &$1.17\substack{+0.29\\0.15}$ &$0.73\substack{+0.18\\0.09}$\\ 

GB6J164856p460341_&$5.36$ &$6205\pm2369$ &$4587\pm259$ &$44.509\pm18.450$ &$175.653\pm19.702$ &$702.61\substack{+176.75\\90.01}$ &$3199573504.00\substack{+0.25\\-0.63}$ &$1488330496.00\substack{+0.05\\-0.05}$ &$0.17\substack{+0.04\\0.02}$ &$0.37\substack{+0.09\\0.05}$\\ 

GB6J171103p383016_&$3.98$ &$4656\pm510$ &$2516\pm45$ &$44.418\pm5.938$ &$106.957\pm15.264$ &$427.83\substack{+108.04\\55.61}$ &$1385189120.00\substack{+0.09\\-0.11}$ &$344274272.00\substack{+0.02\\-0.02}$ &$0.25\substack{+0.06\\0.03}$ &$0.99\substack{+0.25\\0.13}$\\ 

GB6J235758p140205_&$4.25$ &$4044\pm746$ &$8554\pm396$ &$44.263\pm5.112$ &$172.966\pm18.578$ &$691.86\substack{+173.96\\88.46}$ &$1347847040.00\substack{+0.14\\-0.20}$ &$5134547456.00\substack{+0.04\\-0.04}$ &$0.41\substack{+0.10\\0.05}$ &$0.11\substack{+0.03\\0.01}$\\ 

