#    names    redshift         sigma     errsigma          fwhm      errfwhm       lumriga      errlumr       lum1350      errlumc          Lbol              Lbolmax     Lbolmin        M_sigma          errM_sigmat errM_sigmab         M_FWHM           errM_fwhmt  errM_fwhmb      eddratios             eddrmaxs    eddrmins      eddratiof             eddrmaxf          eddrminf
#
GB6J001115p144608_&$4.96$ &$5025\pm792$ &$8090\pm492$ &$45.090\pm0.423$ &$47.19\pm0.03$ &$47.79\substack{+0.10\\-0.05}$ &$9.82\substack{+0.12\\-0.16}$ &$10.16\substack{+0.05\\-0.06}$ &$0.74\substack{+0.18\\0.09}$ &$0.33\substack{+0.08\\0.04}$\\ 

GB6J003126p150729_&$4.29$ &$4149\pm361$ &$2419\pm152$ &$44.518\pm0.421$ &$46.32\pm0.05$ &$46.92\substack{+0.10\\-0.05}$ &$9.19\substack{+0.07\\-0.08}$ &$8.66\substack{+0.05\\-0.06}$ &$0.42\substack{+0.11\\0.05}$ &$1.46\substack{+0.37\\0.19}$\\ 

GB6J012126p034646_&$4.13$ &$2575\pm57$ &$1548\pm17$ &$45.443\pm0.409$ &$46.74\pm0.02$ &$47.34\substack{+0.10\\-0.05}$ &$9.00\substack{+0.02\\-0.02}$ &$8.49\substack{+0.01\\-0.01}$ &$1.73\substack{+0.43\\0.22}$ &$5.63\substack{+1.41\\0.71}$\\ 

GB6J083548p182519_&$4.41$ &$3331\pm220$ &$5864\pm1071$ &$44.410\pm0.420$ &$45.73\pm0.28$ &$46.33\substack{+0.13\\-0.10}$ &$8.69\substack{+0.06\\-0.07}$ &$9.11\substack{+0.14\\-0.20}$ &$0.34\substack{+0.12\\0.09}$ &$0.13\substack{+0.04\\0.03}$\\ 

GB6J083945p511206_&$4.40$ &$3912\pm202$ &$6077\pm189$ &$44.929\pm0.418$ &$46.68\pm0.04$ &$47.29\substack{+0.10\\-0.05}$ &$9.34\substack{+0.04\\-0.05}$ &$9.65\substack{+0.03\\-0.03}$ &$0.71\substack{+0.18\\0.09}$ &$0.34\substack{+0.09\\0.04}$\\ 

GB6J091825p063722_&$4.20$ &$7020\pm794$ &$6251\pm750$ &$44.760\pm0.423$ &$46.60\pm0.03$ &$47.20\substack{+0.10\\-0.05}$ &$9.80\substack{+0.09\\-0.11}$ &$9.63\substack{+0.09\\-0.12}$ &$0.20\substack{+0.05\\0.03}$ &$0.30\substack{+0.07\\0.04}$\\ 

GB6J102107p220904_&$4.26$ &$4904\pm479$ &$2942\pm178$ &$44.553\pm0.421$ &$45.95\pm0.10$ &$46.55\substack{+0.10\\-0.06}$ &$9.15\substack{+0.08\\-0.09}$ &$8.63\substack{+0.05\\-0.06}$ &$0.20\substack{+0.05\\0.03}$ &$0.66\substack{+0.17\\0.09}$\\ 

