#  sigmarray   fwhmarray   lumiarray
#
       25.36        41.4       469.6
       22.44        39.8       455.5
       35.16        40.3       554.2
       26.66        43.5       483.7
       24.17        41.7       461.2
       25.06        43.4       487.6
       26.46        40.6       476.6
       28.78        39.8         504
       31.44        47.8       524.8
       28.09        43.1       505.3
       30.89        39.3       509.6
       25.51        40.3       463.7
       31.14        36.6       526.1
       26.28        41.5       491.1
       29.97        43.2       516.6
       27.68        40.9       505.9
        23.6        39.3       444.8
       27.55        39.3       497.7
       26.69        35.3       477.6
       40.52        45.4       579.8
       23.69        41.1       464.1
       23.15          44       476.8
        24.9        42.1       471.6
       27.51        45.9       535.8
       24.91        40.6         479
       26.55        43.5       466.5
       27.05        45.4       496.1
       27.65        44.5       484.2
       25.87          43       455.5
        25.4        42.7       478.3
       30.89        41.2       536.2
       22.42        44.2         443
       25.15        44.7       515.3
       31.69        39.6       509.5
       27.28          40       500.5
       22.82        44.3       474.7
       26.89        44.5       495.6
       43.12        38.6       521.2
       31.86        43.8       539.1
       22.12        40.9       456.2
       27.48        39.9         488
       27.63        36.1       465.3
       28.33        42.2       469.7
       31.56        43.8       553.5
       23.44          39         453
        24.7        44.6       478.4
       29.76          41       512.3
       25.03        44.2       502.7
       27.76        38.3       477.5
       25.21        43.2       468.9
       29.34        42.2       475.8
       24.34        42.6       466.9
       33.43        38.4       545.8
       27.75        46.9       499.2
       30.64        39.5       522.5
       22.29        40.3       451.7
       29.77        41.9       545.6
       32.17          42       498.8
       26.68        44.5       510.4
        23.5        43.2       457.2
       25.62        41.9       457.3
       28.84        42.5       525.2
       24.45        41.5       489.8
        25.3        42.5       512.8
       27.29          44       489.7
       25.47          39       481.6
       25.42        43.6       504.8
       23.98          41       468.8
       25.43        43.9       488.9
       34.12          40       542.9
       26.45        36.4       489.3
       36.62        35.1       562.1
       22.72        39.9       452.9
       25.58        42.7       489.6
       26.61          42       538.5
       28.29        39.2       473.9
       24.39        47.5       475.9
       39.66        41.5       566.7
       22.73          41       457.1
       26.19        44.3         472
       31.21        42.8       517.2
       36.37        46.9       538.2
       24.83        40.6       486.3
          28        40.2       485.4
       29.17        35.2         490
          34        41.3       523.7
       25.74        38.3       503.6
       31.03        45.2       528.8
       22.41        37.4       456.7
       26.21        39.6       449.2
       33.35        42.5       505.2
       26.34        43.7         456
        50.8        35.5       692.9
       27.25        40.8       475.7
       25.19        50.4       499.6
       20.98        38.1       430.8
       29.57        43.9       501.5
       22.95        39.8       447.3
       26.05        41.2       494.7
       23.98        39.7       487.9
       25.95        45.9       513.4
       40.58        42.1       552.7
       32.04        38.7       530.7
