classname           z_sdss  z_shen 
 GB6J000026+030706  2.35301 0.00000 
 GB6J000115+061415  0.09564 0.00000 
 GB6J000132+135256  2.85899 0.00000 
 GB6J000226+142044  2.14214 0.00000 
 GB6J000313+274028  2.23291 0.00000 
 GB6J000345+160536  2.30741 0.00000 
 GB6J000355+324208  0.53323 0.00000 
 GB6J000544+003611  2.61297 0.00000 
 GB6J000903+062820  1.56180 0.00000 
 GB6J000917+062549  2.69480 0.00000 
 GB6J000942+151357  2.23947 0.00000 
 GB6J000950+060533  2.31087 0.00000 
 GB6J001028+285502  0.69452 0.00000 
 GB6J001115+144608  4.96432 4.96720 
 GB6J001131+005742  1.49137 1.49340 
 GB6J001144+292820  2.62551 0.00000 
 GB6J001154+083359  2.20453 0.00000 
 GB6J001258+020136  0.26657 0.00000 
 GB6J001420+085401  0.16326 0.00000 
 GB6J001453+180803  2.44882 0.00000 
 GB6J001541+170027  1.72001 0.00000 
 GB6J001554+040029  0.75904 0.00000 
 GB6J001737+145054  0.30256 0.00000 
 GB6J001837+041532  2.69935 0.00000 
 GB6J001958+332000  2.63177 0.00000 
 GB6J002030+132444  1.25935 0.00000 
 GB6J002121+155127  3.70036 3.69780 
 GB6J002142+354641  2.73294 0.00000 
 GB6J002230+125649  0.25511 0.00000 
 GB6J002320+190449  4.66341 0.00000 
 GB6J002401+160234  0.76996 0.00000 
 GB6J002554+083719  0.81417 0.00000 
 GB6J002726+260702  0.36445 0.00000 
 GB6J002819+154957  1.15657 1.15540 
 GB6J002829+200017  1.55170 0.00000 
 GB6J002913+345634  0.51661 0.00000 
 GB6J003126+150729  4.29027 4.28320 
 GB6J003256+145621  2.52118 0.00000 
 GB6J003443+275423  2.96865 0.00000 
 GB6J003444+333020  2.22714 0.00000 
 GB6J003505+180842  2.46430 0.00000 
 GB6J003511+010418  2.25990 2.26030 
 GB6J003544+143803  2.44786 0.00000 
 GB6J003551+152651  1.11718 1.11690 
 GB6J003622+034107  1.58665 0.00000 
 GB6J003719+261313  0.14769 0.00000 
 GB6J003745+020011  0.67377 0.00000 
 GB6J003759+160629  3.34465 0.00000 
 GB6J003922+160531  0.70991 0.71010 
 GB6J004012+075829  2.59933 0.00000 
 GB6J004030+270841  2.45683 0.00000 
 GB6J004112+073653  3.02429 0.00000 
 GB6J004155+215448  0.64834 0.00000 
 GB6J004214+150923  1.15817 1.15930 
 GB6J004248+161022  1.45628 1.45690 
 GB6J004304+205730  0.14061 0.00000 
 GB6J004330+002502  1.12694 1.12770 
 GB6J004404+010205  0.11173 0.00000 
 GB6J004415+111854  0.53357 0.00000 
 GB6J004434+013448  0.83911 0.00000 
 GB6J004543+243805  0.52913 0.00000 
 GB6J004839+121356  2.48491 0.00000 
 GB6J004901+225311  0.26415 0.00000 
 GB6J005131+013105  0.29825 0.00000 
 GB6J005206+003550  0.39964 0.39930 
 GB6J005339+342325  2.15502 0.00000 
 GB6J005504+140802  1.66601 1.66950 
 GB6J005545+084956  0.98108 0.00000 
 GB6J005642+173303  0.64422 0.00000 
 GB6J010020+074546  0.46457 0.00000 
 GB6J010033+002153  0.75243 0.75340 
 GB6J010037+334513  2.14766 0.00000 
 GB6J010106+203738  2.37638 0.00000 
 GB6J010208+040315  2.74032 0.00000 
 GB6J010320+131951  2.66984 0.00000 
 GB6J010327+152607  0.24614 0.00000 
 GB6J010348+270725  0.20787 0.00000 
 GB6J010354+073731  0.85880 0.00000 
 GB6J010550+325426  0.17967 0.00000 
 GB6J010556+191229  0.87867 0.00000 
 GB6J010610+253928  0.19747 0.00000 
 GB6J010746+131159  0.76029 0.00000 
 GB6J010838+140428  1.70049 1.70660 
 GB6J010907+181555  1.03834 0.00000 
 GB6J011107+201258  0.44360 0.00000 
 GB6J011114+171320  2.19853 0.00000 
 GB6J011130+003401  1.32142 1.32030 
 GB6J011145+110002  1.08461 0.00000 
 GB6J011212+174335  3.34588 0.00000 
 GB6J011259+152911  0.04385 0.00000 
 GB6J011323+133510  0.19182 0.00000 
 GB6J011355+132505  0.68474 0.68540 
 GB6J011428+262205  0.61841 0.00000 
 GB6J011544+252002  0.37561 0.00000 
 GB6J011636+290406  3.28458 0.00000 
 GB6J011646+060424  0.40793 0.00000 
 GB6J011702+141312  2.22270 0.00000 
 GB6J011853+045552  0.31656 0.00000 
 GB6J012140+114942  0.57132 0.00000 
 GB6J012245+140308  1.58917 1.58900 
 GB6J012343+103936  0.32092 0.00000 
 GB6J012425+045921  1.52784 0.00000 
 GB6J012642+255902  2.36834 0.00000 
 GB6J012848+243145  0.16454 0.00000 
 GB6J012921+310303  3.56307 0.00000 
 GB6J012955+144645  1.63054 1.63010 
 GB6J013027+084237  0.72568 0.00000 
 GB6J013123+315541  0.15974 0.00000 
