#     Msigma       Mfwhm        Lbol       Ledds       Leddf   eddratiof   eddratios
#
   5.168e+10    1.14e+11       6.152       65.11       143.7     0.04282     0.09449
   1.218e+10   3.526e+09      0.8292       15.35       4.442      0.1867     0.05401
   7.886e+09   2.427e+09       2.208       9.936       3.057      0.7222      0.2222
   3.827e+09   1.009e+10      0.2135       4.822       12.72     0.01679     0.04428
   1.697e+10   3.487e+10       1.936       21.39       43.93     0.04406     0.09051
   4.909e+10   3.313e+10        1.58       61.85       41.74     0.03784     0.02554
    1.09e+10   3.341e+09       0.358       13.74       4.209     0.08506     0.02606
   8.128e+09    1.63e+10       1.469       10.24       20.54     0.07151      0.1434
   6.015e+09   9.368e+09       1.194       7.579        11.8      0.1012      0.1576
   1.892e+10   1.726e+10      0.7912       23.84       21.75     0.03638     0.03318
   6.086e+10   2.367e+10      0.9904       76.68       29.83      0.0332     0.01292
   7.607e+09    3.56e+10       1.396       9.584       44.85     0.03111      0.1456
   5.337e+09   2.698e+09         0.9       6.724         3.4      0.2647      0.1338
   1.616e+10   2.654e+10      0.7124       20.36       33.43     0.02131     0.03498
   4.926e+09   4.641e+09      0.4564       6.207       5.848     0.07805     0.07353
   3.264e+09   5.244e+09      0.6152       4.113       6.607     0.09311      0.1496
   2.496e+10   1.161e+10      0.7028       31.45       14.62     0.04806     0.02235
    1.08e+10   2.686e+09       0.428       13.61       3.384      0.1265     0.03144
   1.051e+10   4.005e+10       0.692       13.25       50.47     0.01371     0.05223
