# From Wright's calculator
# http://www.astro.ucla.edu/~wright/CosmoCalc.html
# 
# H0=71
# OmegaM=0.3
# Omegalambda=0.7
#
z	DL(Mpc)	comoving_vol(Gpc^3)
0.0001      0.4222   3.152e-10
0.0002      0.8445   2.521e-09
0.0003       1.267    8.51e-09
0.0004       1.689   2.017e-08
0.0005       2.111    3.94e-08
0.0006       2.533   6.808e-08
0.0007       2.956   1.081e-07
0.0008       3.378   1.614e-07
0.0009         3.8   2.298e-07
 0.001       4.222   3.152e-07
0.0011       4.645   4.195e-07
0.0012       5.067   5.446e-07
0.0013       5.489   6.924e-07
0.0014       5.911   8.648e-07
0.0015       6.334   1.064e-06
0.0016       6.756   1.291e-06
0.0017       7.178   1.548e-06
0.0018         7.6   1.838e-06
0.0019       8.023   2.162e-06
 0.002       8.445   2.521e-06
0.0021       8.867   2.919e-06
0.0022       9.289   3.356e-06
0.0023       9.712   3.835e-06
0.0024       10.13   4.357e-06
0.0025       10.56   4.925e-06
0.0026       10.98   5.539e-06
0.0027        11.4   6.203e-06
0.0028       11.82   6.919e-06
0.0029       12.24   7.687e-06
 0.003       12.67    8.51e-06
0.0031       13.09   9.389e-06
0.0032       13.51   1.033e-05
0.0033       13.93   1.133e-05
0.0034       14.36   1.239e-05
0.0035       14.78   1.351e-05
0.0036        15.2    1.47e-05
0.0037       15.62   1.596e-05
0.0038       16.05   1.729e-05
0.0039       16.47    1.87e-05
 0.004       16.89   2.017e-05
0.0041       17.31   2.172e-05
0.0042       17.73   2.335e-05
0.0043       18.16   2.506e-05
0.0044       18.58   2.685e-05
0.0045          19   2.872e-05
0.0046       19.42   3.068e-05
0.0047       19.85   3.272e-05
0.0048       20.27   3.486e-05
0.0049       20.69   3.708e-05
 0.005       21.11    3.94e-05
0.0051       21.53   4.181e-05
0.0052       21.96   4.432e-05
0.0053       22.38   4.692e-05
0.0054        22.8   4.963e-05
0.0055       23.22   5.244e-05
0.0056       23.65   5.535e-05
0.0057       24.07   5.837e-05
0.0058       24.49   6.149e-05
0.0059       24.91   6.473e-05
 0.006       25.33   6.808e-05
0.0061       25.76   7.154e-05
0.0062       26.18   7.511e-05
0.0063        26.6   7.881e-05
0.0064       27.02   8.262e-05
0.0065       27.45   8.655e-05
0.0066       27.87   9.061e-05
0.0067       28.29   9.479e-05
0.0068       28.71    9.91e-05
0.0069       29.13   0.0001035
0.007       29.56   0.0001081
0.0071       29.98   0.0001128
0.0072        30.4   0.0001176
0.0073       30.82   0.0001226
0.0074       31.25   0.0001277
0.0075       31.67    0.000133
0.0076       32.09   0.0001384
0.0077       32.51   0.0001439
0.0078       32.93   0.0001496
0.0079       33.36   0.0001554
 0.008       33.78   0.0001614
0.0081        34.2   0.0001675
0.0082       34.62   0.0001738
0.0083       35.05   0.0001802
0.0084       35.47   0.0001868
0.0085       35.89   0.0001936
0.0086       36.31   0.0002005
0.0087       36.73   0.0002075
0.0088       37.16   0.0002148
0.0089       37.58   0.0002222
 0.009          38   0.0002298
0.0091       38.42   0.0002375
0.0092       38.85   0.0002454
0.0093       39.27   0.0002535
0.0094       39.69   0.0002618
0.0095       40.11   0.0002702
0.0096       40.53   0.0002788
0.0097       40.96   0.0002876
0.0098       41.38   0.0002966
0.01    42.55   0.0003
0.015   64.07   0.0011
0.02    85.75   0.0025
0.025   107.56  0.0048
0.03    129.59  0.0083
0.035   151.74  0.0132
0.04    174.06  0.0196
0.045   196.53  0.0279  
0.05    219.2   0.038
0.055   241.94  0.0505
0.06	264.9	0.065
0.065   287.97  0.0828
0.07	311.2	0.103
0.075   334.60  0.1263
0.08	358.1	0.153
0.085   381.84  0.1826
0.09	405.7	0.216
0.095   429.68  0.2531
0.10	453.8	0.294
0.11	502.5	0.389
0.12	551.8	0.501
0.13	601.7	0.632
0.14	652.1	0.784
0.15	703.1	0.957
0.16	754.7	1.153
0.17	806.8	1.373
0.18	859.4	1.618
0.19	912.6	1.889
0.20	966.2	2.187
0.21	1020.5	2.513 
0.3	1530.8	6.839
0.35	1830.7	10.446
0.4	2141.5	14.992
0.45	2462.4	20.515
0.5	2792.9	27.039
0.55	3132.4	34.571
0.6	3480.3	43.109 
0.65	3836.1	52.640
0.7	4199.4	63.142
0.75	4569.8	74.587
0.8	4946.8	86.944 
0.85	5330.0	100.175
0.9	5719.2	114.243
0.95	6114.0	129.107
1.0	6514.0	144.725
1.5	10754.6	333.468
2.0	15318.3	557.641
2.5	20105.4	793.999
3.0	25059.3	1029.954
3.5	30144.8	1259.186
4.0	35337.8	1478.760
4.5	40621.0	1687.540
5.0	45981.6	1885.331
5.5	51409.5	2072.423
6.0	56896.7	2249.343
6.5	62436.7	2416.716
7.0	68024.3	2575.198
7.5	73654.8	2725.430
8.0	79324.5 2868.024
8.5	85030.0	3003.550
9.0	90768.6	3132.535 
9.5	96537.8	3255.460
10	102335.3 3372.768 
12	125773.1 3793.344
14	149541.6 4150.502 
16	173575.7 4458.704
18	197829.5 4728.256
20	222268.8 4966.680
30	346500.2 5849.435 
40	473013.4 6432.168
50	600998.2 6854.843
