#       Lbol     Lbolmax     Lbolmin       Ledds       Leddf   eddratiof    eddrminf    eddrmaxf   eddratios    eddrmins    eddrmaxs
#
       6.152       1.538      -0.769       8.347       18.42       0.334    -0.04175     0.08349       0.737    -0.09212      0.1842
      0.8292      0.2073     -0.1037       1.968      0.5695       1.456      -0.182       0.364      0.4213    -0.05266      0.1053
       2.208       0.552      -0.276       1.274       0.392       5.633     -0.7041       1.408       1.733     -0.2167      0.4333
      0.2135     0.05338    -0.02669      0.6182        1.63       0.131    -0.01637     0.03274      0.3454    -0.04318     0.08635
       1.936      0.4839      -0.242       2.742       5.632      0.3437    -0.04296     0.08592       0.706    -0.08825      0.1765
        1.58      0.3949     -0.1975       7.929       5.351      0.2952     -0.0369      0.0738      0.1992     -0.0249      0.0498
       0.358     0.08951    -0.04476       1.761      0.5397      0.6635    -0.08293      0.1659      0.2033    -0.02541     0.05082
       1.469      0.3672     -0.1836       1.313       2.633      0.5578    -0.06972      0.1394       1.119     -0.1398      0.2797
       1.194      0.2986     -0.1493      0.9717       1.513      0.7893    -0.09866      0.1973       1.229     -0.1536      0.3073
      0.7912      0.1978     -0.0989       3.057       2.788      0.2837    -0.03547     0.07094      0.2588    -0.03235     0.06471
      0.9904      0.2476     -0.1238       9.831       3.824       0.259    -0.03237     0.06475      0.1007    -0.01259     0.02519
       1.396      0.3489     -0.1745       1.229       5.751      0.2427    -0.03034     0.06067       1.136      -0.142      0.2839
         0.9       0.225     -0.1125      0.8621      0.4358       2.065     -0.2581      0.5163       1.044     -0.1305       0.261
      0.7124      0.1781    -0.08905       2.611       4.287      0.1662    -0.02077     0.04155      0.2729    -0.03411     0.06822
      0.4564      0.1141    -0.05705      0.7958      0.7497      0.6088     -0.0761      0.1522      0.5735    -0.07169      0.1434
      0.6152      0.1538     -0.0769      0.5273      0.8471      0.7262    -0.09078      0.1816       1.167     -0.1458      0.2917
      0.7028      0.1757    -0.08785       4.032       1.875      0.3749    -0.04686     0.09371      0.1743    -0.02179     0.04358
       0.428       0.107     -0.0535       1.745      0.4338      0.9866     -0.1233      0.2466      0.2453    -0.03066     0.06131
       0.692       0.173     -0.0865       1.698        6.47       0.107    -0.01337     0.02674      0.4074    -0.05093      0.1019
