# mediasigma  sigmasigma   mediafwhm   sigmafwhm   medialumi   sigmalumi
#
       26.61        3.06       40.71       2.324       488.5       27.65
       21.57       1.859       12.13      0.8837       183.6       8.639
       13.45      0.2722         7.9       0.303       522.3       3.689
       17.58       1.282       30.15       5.649         134       5.758
       20.23      0.8977       30.39      0.9629       440.7       7.511
       36.95       3.622       32.55       4.036       339.7       21.31
       25.42       2.374       14.28       1.055       199.7       8.845
       15.22       2.143        22.1       1.446       268.4       11.44
       13.69      0.2261       17.85      0.3589         643       5.866
       27.29       2.508       26.98       1.595       169.4       5.782
       41.43       4.585       29.99       2.209       81.73       5.069
       14.62       1.309       33.47       3.106       98.44       7.603
       13.89      0.6155        9.88      0.6709       238.3        5.94
       24.58       1.625       34.86       2.807       82.87       3.853
       16.02      0.8962       16.02        4.03       90.22       3.481
       9.503      0.9383       15.91       2.225       23.84       1.606
       12.13      0.4619       22.14       1.318        84.1       3.065
       24.55       2.709       12.17      0.4034       173.3       5.969
       20.23      0.8861       34.29       1.914       106.3       3.812
