# sigma       errsigma     fwhm       errfwhm     lumin   	errlumi
#
26.98       4.092       41.71        2.54       489.8       30.04
21.58       1.864       13.02      0.7834         183       8.737
13.4      0.2961       8.274      0.08763         522       3.649
17.38       1.136       30.81       5.533       133.1       4.982
20.3       1.045       31.37      0.9755       441.3       8.451
36.6       4.101       32.76       3.877       335.6       21.87
25.67       2.477       15.19       0.919       200.8       8.781
15.28       1.911       23.12       1.326       268.7        11.4
13.68      0.2497       18.55      0.4012       643.4        5.97
27.08       2.412       27.98       1.493       169.3       6.571
40.96       5.199       30.67       1.954       81.31       5.509
14.75       1.286       34.65       3.026       98.86       7.331
13.84      0.6262       10.67      0.5779       237.8       6.007
24.49       1.477       35.64       2.963       82.71       3.558
15.96      0.9096       16.93       3.452          90       3.507
14.13       6.619       16.69        2.28       25.37       4.745 
47.09       12.24       23.43       1.336       132.1       18.45 
24.17       2.634       13.01      0.2321       172.9       5.938
22.24       3.854        43.7       2.048         104       5.112





9.504      0.9533       17.25       2.478       23.86       1.464
12.09       0.439       22.88       1.543       83.74       2.916
20.04      0.8196       35.13       1.812       105.8       3.687
