#      sigma        fwhm     lumriga     lum1350     errlumc     M_sigma  errM_sigma      M_FWHM   errM_fwhm
#
       25.96        41.8       481.4        1538       9.511   6.625e+09   1.296e+09   1.462e+10    2.86e+09
       21.44        12.5       181.7       207.3       2.451   1.562e+09   1.142e+08    4.52e+08   3.304e+07
        13.3           8       521.9         552       6.546   1.011e+09   1.332e+07   3.111e+08     4.1e+06
       17.21        30.3       132.9       53.38       2.467   4.906e+08   3.154e+08   1.294e+09    8.32e+08
       20.21        31.4       440.7       483.9       3.933   2.176e+09     2.1e+08    4.47e+09   4.315e+08
       36.27        32.3       333.9       394.9       4.292   6.293e+09   1.345e+09   4.247e+09   9.078e+08
       25.34        15.2       200.3       89.51       2.233   1.398e+09   1.015e+08   4.283e+08   3.108e+07
       15.05        23.1       269.3       367.2        6.34   1.042e+09   1.837e+08    2.09e+09   3.683e+08
       13.67        18.5       643.3       298.6       6.253   7.712e+08   4.526e+07   1.201e+09    7.05e+07
       27.05          28       169.1       197.8       2.135   2.426e+09   2.678e+08   2.213e+09   2.442e+08
       45.71        30.9       85.48       247.6       1.905   7.802e+09   6.671e+08   3.035e+09   2.595e+08
       14.76        34.6       98.46       348.9       2.828   9.752e+08       4e+08   4.564e+09   1.872e+09
       13.88        10.7       237.9         225       2.847   6.842e+08   5.696e+07   3.459e+08    2.88e+07
        25.7        35.7       84.86       178.1       1.796   2.072e+09   4.777e+08   3.402e+09   7.845e+08
       15.97        16.8       89.93       114.1       1.558   6.316e+08   2.731e+08    5.95e+08   2.573e+08
       12.01        16.5       23.83       153.8       1.685   4.185e+08   1.727e+08   6.723e+08   2.774e+08
       32.06        23.7       105.3       175.7       1.683     3.2e+09    3.08e+08   1.488e+09   1.433e+08
       24.06          13       172.7         107       1.879   1.385e+09   2.677e+07   3.443e+08   6.653e+06
       20.89        44.2       103.3         173        1.58   1.348e+09   2.338e+08   5.135e+09   8.906e+08
