#      names      fluxes      sigmas        StoN
#
 GB6J001115p144608_        44.6        3.63       12.29
 GB6J003126p150729_       8.467       1.576       5.372
 GB6J012126p034646_       24.67       1.879       13.13
 GB6J083548p182519_       2.043       1.109       1.841
 GB6J083945p511206_       18.61       1.449       12.84
 GB6J091825p063722_       16.96       2.419       7.012
 GB6J102107p220904_       3.717       1.272       2.923
 GB6J102623p254255_       9.198       2.403       3.827
 GB6J132512p112338_       11.37       1.485       7.652
 GB6J134811p193520_       7.611      0.9392       8.103
 GB6J141212p062408_        9.68       0.588       16.46
 GB6J143023p420450_       11.37       2.093       5.434
 GB6J151002p570256_        9.09       1.447       6.283
 GB6J153533p025419_       6.964      0.6178       11.27
 GB6J161216p470311_       4.559      0.8471       5.382
 GB6J162956p095959_       4.439       0.533       8.329
 GB6J164856p460341_       4.247       1.051       4.042
 GB6J171103p383016_       5.219      0.5777       9.034
 GB6J235758p140205_       7.223      0.8349       8.652
