
May 10 13:02 [GB6J001115+144608_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  9179.576  6.268867   294.459    -46.97   1.38371     199.9        0.
  9178.687   6.28492   289.783    -46.11   1.36938     198.8        0.
  9172.556  6.224935   309.761    -49.76    1.4532     200.2        0.
   9185.38  6.311367   277.204    -43.92   1.32348     196.8        0.
   514.993  6.315138   8626.45    -1366.   1.33139     6087.        0.
  143.2868  6.343761   9392.37    -1481.   1.30346     6769.        0.
  193.4263  6.354117   9082.58    -1429.    1.2961     6583.        0.
  9179.475   6.32665   277.452    -43.85   1.32165     197.2        0.
  9174.842  6.319983   277.888    -43.97   1.34804     193.7        0.
  9183.462  6.257078   294.467    -47.06   1.38925     199.1        0.
  348.9096  6.449811   7947.89    -1232.   1.20012     6221.        0.
  417.2869  6.441557   7741.27    -1202.   1.21778     5972.        0.
   211.173  6.351943   8928.58    -1406.    1.3149     6379.        0.
   9182.55  6.312922   280.156    -44.38   1.32772     198.2        0.

May 10 13:09 [GB6J143023+420450_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8704.265  2.548043 -0.826091    0.3245
  8952.962  2.466892   -85.487     33.83

May 10 13:15 [GB6J083945+511206_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
 -2267.724  18.97913   49126.7    -2588.   2.71787    16981.        0.
  8347.182  3.697416   192.184    -51.98   1.45359     124.2        0.
  8346.898  3.765733   175.847     -46.7   1.39247     118.6        0.
  8349.446  3.840033   158.459    -41.26   1.31292     113.4        0.
  8350.269  3.875498   151.215    -39.02    1.2729     111.6        0.
  8346.173  3.692255   194.841    -52.77    1.4581     125.5        0.
  8212.953  3.606006  -43.4297     12.04    -2.078     19.63        0.
  8349.235  3.617743   212.778    -58.82     1.512     132.2        0.
  8348.804  3.768659   173.858    -46.13   1.38698     117.8        0.
  49.57581  3.607865   7749.05    -2148.   1.54287     4718.        0.
  88.84476  3.633005   7484.45    -2060.   1.52029     4625.        0.
  113.3138  3.756127   6909.65    -1840.   1.36582     4753.        0.
  111.4095  3.708046   6857.91    -1849.   1.44392     4462.        0.

May 10 13:34 [GB6J083548+182519_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8347.641 0.3420927   9.24995    -27.04   2.48888     3.491        0.
  8347.658 0.3917034   8.88239    -22.68   2.44964     3.406        0.
  8347.661 0.4755819   8.28309    -17.42   2.38077     3.268        0.
  8347.656 0.3485141   9.20627    -26.42   2.48346     3.483        0.
  8322.373 0.8055038   3.03422    -3.767  0.748667     3.807        0.
  8347.661 0.4714197   8.31171    -17.63    2.3843     3.275        0.

May 10 13:43 [GB6J102623+254255_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
   9478.56  1.502709   18.2219    -12.13    5.7698     2.967        0.
  9873.959  1.442877   10.5598    -7.319   3.00449     3.302        0.
   9572.36  2.027736  -6.60068     3.255  -2.93209     2.115        0.
  9682.183  2.211995   9.52968    -4.308   2.14659     4.171        0.
  9478.916  1.514683   15.5318    -10.25   6.10119     2.392        0.
  9681.246  2.199111   137.167    -62.37   1.13143     113.9        0.
    9684.5  2.261478   128.018    -56.61   1.04052     115.6        0.
  9683.525  2.316417   115.029    -49.66  0.999386     108.1        0.
   9684.98  2.271983   125.992    -55.45   1.02741     115.2        0.
  9686.282  2.286483   120.105    -52.53     1.024     110.2        0.
  9687.484  2.309128    117.12    -50.72   0.98545     111.7        0.
  222.5833  2.269774   3917.87    -1726.   1.02927     3576.        0.
  272.5784  2.312014   3588.85    -1552.  0.991789     3399.        0.
  303.8302  2.268983   3950.16    -1741.    1.0125     3665.        0.
  163.2499  2.302912   3626.16    -1575.   1.01817     3346.        0.
  120.3471  2.479458   2596.24    -1047.  0.855737     2850.        0.
  97.55003  2.438236   2816.21    -1155.  0.895857     2953.        0.

May 10 13:51 [GB6J083548+182519_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8347.604 0.3555771   9.13142    -25.68   2.15239     3.986        0.
  8347.557 0.3982635   9.09764    -22.84   1.82134     4.693        0.
  8347.597 0.4646012   8.27663    -17.81   1.81117     4.293        0.
  8330.699 0.3007971   181.044    -601.9  0.681549     249.5        0.
  8349.173 0.2933135    185.93    -633.9  0.690228     253.1        0.
  8342.887 0.2651573   179.078    -675.4  0.734197     229.1        0.
  8340.136 0.3016891    179.97    -596.5  0.683778     247.3        0.
  8357.756 0.2314816   206.934     -894.  0.749863     259.2        0.
  8350.963 0.3345615   158.717    -474.4  0.656817      227.        0.
  8360.633 0.2435644   179.791    -738.2  0.756444     223.3        0.
  230.4272 0.3353493   5417.09   -16154.  0.676175     7526.        0.
  481.0367  0.330466   5269.14   -15945.  0.687279     7202.        0.
  419.0115 0.3138488   5057.95   -16116.  0.722276     6579.        0.
  403.3374 0.3238909   5345.02   -16503.  0.692269     7253.        0.

May 10 14:05 [GB6J132512+112338_spect.fits]: 
    center      cont      flux       eqw      core     gfwhm     lfwhm
  8368.205  1.837061   555.695    -302.5   4.07982      128.        0.
  8368.442  1.951463   518.304    -265.6   4.03722     120.6        0.
   8368.37  2.038112   493.604    -242.2   3.98942     116.2        0.
   8366.89  1.899765   536.748    -282.5   4.04421     124.7        0.
  8369.798   2.14792   463.076    -215.6   3.92883     110.7        0.
