source	flux1350	CIV_noise	S/N
GB6J001115+144608	46.92	2.91	16.1
GB6J003126+150729	7.91	0.79	10.0
GB6J012126+034646	23.83	0.56	42.7
GB6J083548+182519	2.56	0.92	2.8
GB6J083945+511206	20.78	0.87	23.8
GB6J091825+063722	17.02	1.01	16.9
GB6J102107+220904	3.55	0.75	4.7
GB6J102623+254255	12.10	1.51	8.0
GB6J132512+112338	11.78	1.07	11.0
GB6J134811+193520	8.95	0.92	9.7
GB6J141212+062408	11.10	0.65	17.0
GB6J143023+420450	11.84	1.00	11.8
GB6J151002+570256	9.77	0.94	10.4
GB6J153533+025419	7.15	0.67	10.6
GB6J161216+470311	4.57	0.59	7.7
GB6J162956+095959	5.00	0.56	9.0
GB6J164856+460341	5.49	0.67	8.2
GB6J171103+383016	5.34	0.40	13.5
GB6J235758+140205	8.04	0.46	17.6
