name	z	sigma	fwhm	S5GHz	r_mag	L1350	Msigma	Mfwhm
GB6J001115+144608	4.94	5169	7950	31	19.67	47.20	9.85	10.16
GB6J083548+182519	4.41	4482	4686	40	20.93	45.83	9.00	8.97
GB6J083945+511206	4.40	2896	5555	51	19.28	46.73	9.10	9.60
GB6J091825+063722	4.17	4292	6327	36	19.68	46.59	9.37	9.64
GB6J102107+220904	4.26	2572	2465	108	21.46	45.93	8.57	8.47
GB6J102623+254255	5.27	3695	5093	142	21.83	46.68	9.29	9.49
GB6J132512+112338	4.40	2713	3584	62	19.45	46.49	8.92	9.09
GB6J134811+193520	4.38	4811	5036	38	20.64	46.36	9.35	9.31
GB6J141212+062408	4.37	4516	5983	34	20.19	46.45	9.34	9.51
GB6J143023+420450	4.72	3379	7918	337	21.06	46.56	9.14	9.81
GB6J151002+570256	4.31	2886	2005	292	20.52	46.38	8.91	8.53
GB6J153533+025419	4.37	3826	7749	53	20.72	46.26	9.09	9.64
GB6J162956+095959	4.97	1787	3112	33	21.94	46.24	8.42	8.83
GB6J164856+460341	5.36	3181	7682	0	0	46.36	8.99	9.68
GB6J171103+383016	3.98	1782	2176	36	20.53	46.04	8.31	8.42
GB6J235758+140205	4.25	4151	7631	78	20.40	46.28	9.17	9.63
GB6J012202+030951	4.00	0	7741	0	0	46.45	9.45	9.45
GB6J231449+020146	4.11	0	3156	0	0	46.53	9.00	9.00
GB6J090631+693027	5.47	0	0	114	0	0	9.30	9.30
