classname         gbflux psfmagr flag_class        z                RA               DEC      bii       lii    a_v
GB6J000007+081644     52  17.416          0 0.000000          0.029309          8.279178 -52.4728  101.7858  0.270
GB6J000010+305556     49  20.463          0 0.000000          0.042045         30.933172 -30.6630  110.1512  0.308
GB6J000026+030706     91  18.736          1 2.353010          0.112596          3.121010 -57.3456   98.8329  0.148
GB6J000035+291424     96  20.059          0 0.000000          0.146373         29.243284 -32.3282  109.7971  0.280
GB6J000054+251605     39  19.336          0 0.000000          0.233713         25.272264 -36.2051  108.7525  0.208
GB6J000107+024313     36  21.904          0 0.000000          0.289735          2.719330 -57.7841   98.8679  0.147
GB6J000109+191428    233  21.551          1 3.100000          0.285927         19.242727 -42.0543  106.8625  0.172
GB6J000114+235801    121  18.002          0 0.000000          0.311935         23.969616 -37.4861  108.4442  0.300
GB6J000115+061415     48  18.132          4 0.095640          0.309767          6.239447 -54.4907  101.1007  0.248
GB6J000122+252655     73  21.031          0 0.000000          0.340301         25.448755 -36.0568  108.9207  0.187
GB6J000128+063227     41  16.420          0 0.000000          0.348739          6.541935 -54.2181  101.3355  0.249
GB6J000132+135256     49  19.153          1 2.858990          0.384280         13.882912 -47.2382  104.9411  0.231
GB6J000132+211338    119  18.969          0 0.000000          0.384875         21.226727 -40.1603  107.6563  0.225
GB6J000134+072319     88  19.481          0 0.000000          0.393555          7.386917 -53.4338  101.8735  0.266
GB6J000226+142044     62  20.172          1 2.142140          0.600565         14.345511 -46.8528  105.4265  0.201
GB6J000239+160540     66  22.297          0 0.000000          0.667484         16.095737 -45.1858  106.2003  0.192
GB6J000253+294244     52  20.407          0 0.000000          0.718465         29.714773 -31.9816  110.4961  0.296
GB6J000301+183812    143  18.440          0 0.000000          0.754832         18.633049 -42.7577  107.2303  0.157
GB6J000313+021506     51  19.064          0 0.000000          0.812347          2.249288 -58.4103   99.4707  0.150
GB6J000313+274028     57  18.432          1 2.232910          0.804525         27.679176 -33.9830  110.0442  0.248
GB6J000314+162934    105  20.472          0 0.000000          0.799402         16.484192 -44.8447  106.5184  0.185
GB6J000318+245940     98  20.857          0 0.000000          0.817962         24.994015 -36.6004  109.3095  0.220
GB6J000319+212950    293  20.326          1 0.450000          0.830618         21.495672 -40.0022  108.2688  0.225
GB6J000322+071713     31  18.528          0 0.000000          0.846860          7.287189 -53.6711  102.5378  0.275
GB6J000345+160536    109  19.486          1 2.307410          0.942071         16.096664 -45.2545  106.5619  0.198
GB6J000354+300958     34  20.442          0 0.000000          0.981910         30.167381 -31.5896  110.8742  0.317
GB6J000355+324208     85  21.153          4 0.533230          0.984746         32.699326 -29.1158  111.4999  0.282
GB6J000356+061547     40  19.684          0 0.000000          0.991465          6.264750 -54.6868  102.2210  0.251
GB6J000410+082205     46  17.250          0 0.000000          1.044148          8.365987 -52.7043  103.4005  0.323
GB6J000430+050509     40  21.262          0 0.000000          1.129911          5.083712 -55.8500  101.7879  0.191
GB6J000434+294606     83  16.920          0 0.000000          1.144334         29.771047 -32.0068  110.9361  0.297
GB6J000435+201933    151  21.668          1 0.677000          1.148986         20.328402 -41.2067  108.2783  0.213
GB6J000459+114204     33  18.508          5 0.076000          1.243535         11.700910 -49.5675  105.2335  0.313
GB6J000519+052349    303  16.225          1 1.900000          1.334227          5.402984 -55.6122  102.3110  0.212
GB6J000544+003611     38  20.964          1 2.612970          1.436656          0.599335 -60.1743   99.4682  0.166
GB6J000544+330904     31  18.717          0 0.000000          1.421726         33.130516 -28.7692  112.0114  0.270
GB6J000554+041857     41  20.831          0 0.000000          1.486880          4.315102 -56.6921  101.9505  0.157
GB6J000607+342216     64  18.786          0 0.000000          1.530761         34.372337 -27.5704  112.3929  0.347
GB6J000614+272136     42  19.286          0 0.000000          1.566818         27.366173 -34.4357  110.7596  0.251
GB6J000622+123604    209  16.514          0 0.000000          1.596063         12.598071 -48.7967  106.1119  0.347
GB6J000631+054904    105  18.689          0 0.000000          1.635959          5.814619 -55.3137  103.0395  0.239
GB6J000646+172814    159  18.559          0 0.000000          1.697341         17.470482 -44.1056  108.0305  0.168
GB6J000648+200103     49  20.126          0 0.000000          1.701221         20.020267 -41.6281  108.8534  0.188
GB6J000649+242232    189  18.787          1 1.684000          1.703286         24.376801 -37.3821  110.1179  0.276
GB6J000657+141549    152  18.506          0 0.000000          1.739725         14.262997 -47.2244  106.9565  0.298
GB6J000757+102729    246  21.222          0 0.000000          1.982003         10.462312 -50.9563  105.7986  0.333
GB6J000800+114346    143  21.812          0 0.000000          2.003484         11.733537 -49.7354  106.3544  0.348
GB6J000809+024406     62  21.241          0 0.000000          2.035844          2.732387 -58.3669  101.9770  0.141
GB6J000828+125715     41  21.773          0 0.000000          2.096075         12.961385 -48.5713  106.9673  0.336
GB6J000902+191219     31  20.368          0 0.000000          2.266497         19.214954 -42.5330  109.3068  0.189
GB6J000903+062820    259  18.936          6 1.561800          2.266378          6.472549 -54.8694  104.4247  0.296
GB6J000917+062549    156  19.419          1 2.694000          2.321078          6.431869 -54.9239  104.4953  0.292
GB6J000923+050722     51  20.849          0 0.000000          2.350713          5.123616 -56.1854  103.8803  0.187
GB6J000935+180345    270  16.647          0 0.000000          2.395249         18.061943 -43.6842  109.1179  0.178
GB6J000942+151357    121  19.742          1 2.239470          2.431126         15.227206 -46.4518  108.2475  0.252
GB6J000950+060533     56  20.494          1 2.310870          2.446259          6.097351 -55.2799  104.5385  0.253
GB6J000956+355813     35  18.752          0 0.000000          2.471855         35.973194 -26.1427  113.5772  0.309
GB6J001009+005456     37  23.335          0 0.000000          2.541511          0.911148 -60.2541  101.7735  0.145
GB6J001012+283752     46  21.060          0 0.000000          2.546099         28.636599 -33.3650  112.0878  0.227
GB6J001016+112106     30  24.086          0 0.000000          2.569163         11.346310 -50.2507  107.0352  0.345
GB6J001028+204801    121  19.367          1 0.600000          2.619759         20.797146 -41.0598  110.1998  0.206
