classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii	lii	a_v	psfmagr_corr
GB6J000026+030706	91	18.736	1	2.35301	0.112596	3.12101	-57.3456	98.8329	0.148	18.61442760050063
GB6J000345+160536	109	19.486	1	2.30741	0.942071	16.096664	-45.2545	106.5619	0.198	19.323355843913003
GB6J000519+052349	303	16.225	1	1.9	1.334227	5.402984	-55.6122	102.311	0.212	16.05085575206847
GB6J000649+242232	189	18.787	1	1.684	1.703286	24.376801	-37.3821	110.1179	0.276	18.560283903636307
GB6J000917+062549	156	19.419	1	2.694	2.321078	6.431869	-54.9239	104.4953	0.292	19.179140941528267
GB6J000942+151357	121	19.742	1	2.23947	2.431126	15.227206	-46.4518	108.2475	0.252	19.534998346798368
GB6J001033+172437	989	16.699	1	1.601	2.641623	17.405209	-44.3767	109.2332	0.196	16.53799871417651
GB6J001144+292820	107	19.241	1	2.62551	2.941598	29.475163	-32.6055	112.679	0.225	19.056177095355686
GB6J001154+083359	87	19.835	1	2.20453	2.979857	8.566758	-53.0427	106.5406	0.474	19.44563974754931
GB6J001307+205335	41	17.795	1	3.53	3.296234	20.895204	-41.0921	111.0474	0.199	17.631534408781253
GB6J001837+041532	142	19.784	1	2.69935	4.657081	4.262309	-57.6246	107.5233	0.137	19.671463386949906
GB6J002121+155127	35	19.64	1	3.70036	5.333564	15.857155	-46.3984	112.4056	0.209	19.468320057463725
GB6J002903+050931	377	18.529	1	1.633	7.264965	5.159672	-57.262	112.5895	0.128	18.42385630313568
GB6J003443+275423	587	18.386	1	2.964	8.681198	27.90716	-34.8186	118.4338	0.256	18.175712606271357
GB6J003544+143803	328	19.367	1	2.44786	8.933706	14.633875	-48.0644	117.2435	0.248	19.163284087325376
GB6J003759+160629	77	20.601	1	3.344654	9.500844	16.110813	-46.6383	118.23	0.203	20.434248668254238
GB6J010037+334513	119	19.681	1	2.144	15.159558	33.751709	-29.0809	125.1203	0.278	19.452641033372803
GB6J010838+013516	4180	18.089	1	2.099	17.161547	1.583422	-60.9908	131.8273	0.126	17.985499173399184
GB6J010838+140428	132	19.006	1	1.70049	17.161784	14.074593	-48.586	129.2477	0.193	18.847463019571766
GB6J011114+171320	99	19.513	1	2.19853	17.810072	17.224611	-45.3878	129.6722	0.26	19.299426865744348
GB6J011636+290406	68	18.693	1	3.284584	19.154665	29.069879	-33.479	129.53	0.302	18.44492659021074
GB6J012129+112702	194	17.235	1	2.487	20.370834	11.450147	-50.7389	134.6124	0.206	17.06578436285898
GB6J012238+250238	764	19.069	1	2.025	20.661719	25.04216	-37.29	131.8254	0.408	18.733854466244974
GB6J012642+255902	1303	18.128	1	2.358	21.678293	25.983686	-36.2135	132.767	0.458	17.75178270965735
GB6J012921+310303	74	19.482	1	3.56307	22.341042	31.049593	-31.1224	132.421	0.265	19.264319690085582
