 classname				 z_shen  gbflux psfmagr logMBH_shen    logMBH_shen_Err    logMBH_shen_CIV    logMBH_shen_CIV_err 	# CLASS con massa Shen
 GB6J001131+005742 1.49340    140  20.721       8.952           0.146           0.000              -1.000 
 GB6J002121+155127 3.69780     35  19.640       8.871           0.075           8.871               0.075 
 GB6J002819+154957 1.15540     32  18.753       8.791           0.192           0.000              -1.000 
 GB6J003126+150729 4.28320     93  20.063       8.576           0.633           8.576               0.633 
 GB6J003511+010418 2.26030     64  20.373       9.493           0.423           9.493               0.423 
 GB6J003551+152651 1.11690     54  18.725       8.821           0.147           0.000              -1.000 
 GB6J003922+160531 0.71010    130  19.157       8.944           0.048           0.000              -1.000 
 GB6J004214+150923 1.15930    142  20.691       8.274           0.106           0.000              -1.000 
 GB6J004248+161022 1.45690     50  19.255       9.407           0.197           0.000              -1.000 
 GB6J004330+002502 1.12770     95  19.263       8.405           0.281           0.000              -1.000 
 GB6J005206+003550 0.39930     88  16.389       8.425           0.013           0.000              -1.000 
 GB6J005504+140802 1.66950     91  19.519       9.326           0.085           0.000              -1.000 
 GB6J010033+002153 0.75340     59  17.790       9.216           0.086           0.000              -1.000 
 GB6J010838+140428 1.70660    132  19.006       8.651           0.105           8.651               0.105 
 GB6J011130+003401 1.32030     41  18.714       8.341           0.115           0.000              -1.000 
 GB6J011355+132505 0.68540    150  18.807       8.401           0.233           0.000              -1.000 
 GB6J012245+140308 1.58900     63  18.858       9.452           0.115           8.980               0.083 
 GB6J012955+144645 1.63010    570  19.592       8.862           0.141           8.214               0.129 
 GB6J015242+002052 0.57760    138  20.700       8.216           0.333           0.000              -1.000 
 GB6J015824+131208 1.15610     50  20.468       8.710           0.060           0.000              -1.000 
 GB6J015855+130705 1.88850    272  18.908       9.285           0.084           9.241               0.042 
 GB6J020327+003742 1.58400     44   0.000       8.577           0.223           8.416               0.066 
 GB6J021224+010112 0.51280     51  18.710       8.701           0.119           0.000              -1.000 
 GB6J021616+053053 1.36150     79  18.496       9.443           0.129           0.000              -1.000 
 GB6J025513+003756 1.02280     93  19.970       8.870           0.134           0.000              -1.000 
 GB6J031049+381450 0.81640    628  18.425       8.230           0.184           0.000              -1.000 
 GB6J032759+004411 1.35740    186  18.159       9.529           0.051           0.000              -1.000 
 GB6J044736+112425 2.38930     38  20.295       8.878           0.055           8.878               0.055 
 GB6J072622+412438 1.80190    120  19.154       9.134           0.300           9.221               0.164 
 GB6J073135+410021 1.31410     73  18.456       9.405           0.041           0.000              -1.000 
 GB6J073321+390503 0.66370    100  18.303       8.335           0.084           0.000              -1.000 
 GB6J073754+265135 1.64880     71  20.566       8.702           0.399           8.661               0.589 
 GB6J073815+393646 0.77000     47  18.857       8.582           0.329           0.000              -1.000 
 GB6J074033+285247 0.71110    169  19.275       8.418           0.068           0.000              -1.000 
 GB6J074109+311204 0.63120   2623  16.765       9.050           0.131           0.000              -1.000 
 GB6J074237+394422 2.20070    123  20.150       8.900           0.107           8.900               0.107 
 GB6J074240+374334 0.80570     37  18.684       9.271           0.033           0.000              -1.000 
 GB6J074308+394108 1.70920    416  18.469       9.274           0.039           9.043               0.138 
 GB6J074344+232833 0.77660    196  17.733       9.260           0.072           0.000              -1.000 
 GB6J074409+411708 1.45970     60  18.133       9.501           0.040           0.000              -1.000 
 GB6J074411+295908 1.70700     91  18.329       9.744           0.063           9.825               0.138 
 GB6J074417+320800 1.05030     63  19.280       8.987           0.203           0.000              -1.000 
 GB6J074445+211956 2.50260     51  20.161       8.793           0.126           8.793               0.126 
 GB6J074521+415726 2.85500     33  19.200       8.705           0.055           8.705               0.055 
 GB6J074523+401315 1.10400     31  20.353       8.346           0.193           0.000              -1.000 
 GB6J074542+314255 0.46090    941  15.752       9.827           0.018           0.000              -1.000 
 GB6J074558+222702 0.35110     33  19.058       7.099           1.654           0.000              -1.000 
 GB6J074559+331333 0.61060    119  18.640       8.747           0.048           0.000              -1.000 
 GB6J074625+254906 2.97870    476  19.497       9.593           0.164           9.593               0.164 
 GB6J074730+492042 1.71330     69  18.150       9.611           0.094           9.255               0.040 
 GB6J074810+300634 1.69420    148  18.604       9.066           0.100           9.325               0.067 
 GB6J074836+240021 0.40930   1263  18.610       9.387           0.359           0.000              -1.000 
 GB6J074842+173500 1.08710     47  18.789       9.034           0.076           0.000              -1.000 
 GB6J074904+451027 0.19210    113  16.790       8.538           0.051           0.000              -1.000 
 GB6J074909+474817 1.57110     58  18.923       9.532           0.073           8.979               0.177 
 GB6J074915+351635 2.27020     32  19.878       8.441           0.058           8.441               0.058 
 GB6J075000+182311 1.16300    309  19.653       8.672           0.100           0.000              -1.000 
 GB6J075019+363007 2.03330     81  18.917       9.183           0.057           9.183               0.057 
 GB6J075020+481458 1.95630    902  18.413       9.146           0.195           9.146               0.195 
 GB6J075038+654114 0.74900     52  17.671       9.369           0.106           0.000              -1.000 
 GB6J075039+192003 1.92200    124  18.316       9.691           0.080           9.691               0.080 
 GB6J075144+411538 0.42900    168  19.186       9.566           0.206           0.000              -1.000 
 GB6J075151+335532 2.06520     51  20.305       8.846           0.189           8.846               0.189 
 GB6J075153+331331 1.93430    444  19.625       8.574           0.098           8.574               0.098 
 GB6J075221+353044 1.83660     54  20.672       8.227           0.287           8.760               0.146 
 GB6J075303+423131 3.59000    450  17.630       9.188           0.020           9.188               0.020 
 GB6J075407+533055 1.65070     38  18.812       9.104           0.147           8.968               0.068 
 GB6J075449+303352 0.79550    114  17.378       9.478           0.150           0.000              -1.000 
 GB6J075525+172851 1.28790     34   0.000       9.571           0.084           0.000              -1.000 
 GB6J075537+292046 0.50640     30  18.604       8.524           0.055           0.000              -1.000 
 GB6J075626+132527 0.47900    225  19.480       8.135           0.059           0.000              -1.000 
 GB6J075628+371504 2.51570    212  20.170       8.463           0.030           8.463               0.030 
 GB6J075650+112812 1.72660     74  19.493       9.381           0.201           8.984               0.100 
 GB6J075738+252814 2.08030    151  20.498       8.847           0.114           8.847               0.114 
 GB6J075807+113650 0.56810    405  17.969       8.529           0.042           0.000              -1.000 
 GB6J075809+415106 2.22100     32  20.252       8.791           0.403           8.791               0.403 
 GB6J075837+135756 2.20510     88  17.798       9.391           0.017           9.391               0.017 
 GB6J075927+301029 1.00190    138  17.626       9.196           0.078           0.000              -1.000 
 GB6J080018+370305 0.81380     51  18.127       9.192           0.045           0.000              -1.000 
 GB6J080036+501047 1.61470     63  16.891       9.524           0.139           9.813               0.080 
 GB6J080054+450042 2.36390     39  20.345       8.396           0.155           8.396               0.155 
 GB6J080132+473624 0.15690     65  16.157       8.907           0.033           0.000              -1.000 
 GB6J080220+303606 1.64100     42  18.880       9.193           0.046           9.293               0.162 
 GB6J080240+250922 1.66940    285  19.945       8.934           0.136           8.778               0.091 
 GB6J080244+525546 2.01610    120  19.524       8.864           0.165           8.864               0.165 
 GB6J080402+303506 0.95960     81  19.010       8.942           0.095           0.000              -1.000 
 GB6J080408+101214 1.21150     88  18.211       9.282           0.038           0.000              -1.000 
 GB6J080408+131356 1.97200     81  19.366       8.594           0.060           8.594               0.060 
 GB6J080435+424111 1.44120     30  19.862       8.504           0.309           0.000              -1.000 
 GB6J080508+112150 0.95000    121  17.501       8.945           0.058           0.000              -1.000 
