#         ll          ff
#
        3650      0.1281
        3651       1.806
        3652      0.9685
        3653       4.105
        3654       4.566
        3655      0.1685
        3656     -0.6916
        3657     -0.1103
        3658      0.8197
        3659      0.1073
        3660        2.78
        3661      -1.337
        3662      0.8492
        3663      -1.292
        3664      -1.469
        3665     -0.4253
        3666       2.452
        3667      0.4835
        3668      0.7656
        3669      0.9682
        3670      -2.982
        3671      -1.536
        3672     -0.4315
        3673       1.186
        3674      0.3704
        3675      0.4365
        3676      0.3647
        3677      0.7765
        3678       1.012
        3679      -1.047
        3680     -0.7933
        3681     -0.9004
        3682      -2.634
        3683       2.142
        3684       2.569
        3685      -1.187
        3686       1.737
        3687     -0.3582
        3688     -0.5924
        3689       1.034
        3690     -0.8186
        3691       1.625
        3692       1.178
        3693     -0.5882
        3694     -0.9056
        3695    -0.01976
        3696       1.387
        3697      0.9042
        3698       1.054
        3699      0.8575
        3700      0.5082
        3701      -1.207
        3702     -0.4615
        3703       1.681
        3704      0.5702
        3705      0.5703
        3706       4.095
        3707      0.5985
        3708      -1.267
        3709      -2.929
        3710       -2.16
        3711      -2.171
        3712      0.7448
        3713       4.061
        3714        0.83
        3715      -1.255
        3716     -0.6777
        3717      0.2337
        3718       1.976
        3719      0.6482
        3720      0.2687
        3721      -1.015
        3722     -0.3399
        3723       2.468
        3724     -0.8121
        3725     -0.6699
        3726       2.322
        3727       1.975
        3728      0.3009
        3729     -0.3434
        3730     -0.9244
        3731      -1.658
        3732      -1.467
        3733     -0.7635
        3734       1.627
        3735      0.9282
        3736      -1.507
        3737       1.018
        3738     0.05279
        3739       1.484
        3740      0.6112
        3741      -1.608
        3742     -0.6669
        3743     -0.1405
        3744      0.1266
        3745      -1.558
        3746      0.1808
        3747      0.7724
        3748       1.539
        3749      -0.306
        3750      -1.276
        3751     -0.5609
        3752      -1.255
        3753       1.894
        3754       1.306
        3755      -1.796
        3756     -0.3782
        3757       1.904
        3758       2.721
        3759      0.2741
        3760      0.1274
        3761       1.187
        3762      0.9044
        3763       1.258
        3764      -1.152
        3765     -0.2969
        3766      0.4798
        3767      0.7796
