#         ll          ff
#
        3650     -0.2515
        3651      -2.779
        3652      0.4762
        3653        2.18
        3654      0.2088
        3655      -1.305
        3656      -0.858
        3657      -1.162
        3658      0.6481
        3659       1.263
        3660       0.763
        3661     -0.2831
        3662      0.2708
        3663     -0.0808
        3664      0.5927
        3665        1.16
        3666       0.358
        3667      -1.678
        3668     0.06645
        3669       1.425
        3670        1.51
        3671      -1.147
        3672      0.4331
        3673       -1.54
        3674      -0.413
        3675      0.3511
        3676      0.7984
        3677      -1.219
        3678       4.465
        3679      -1.442
        3680       1.103
        3681    -0.05376
        3682       3.973
        3683      -2.044
        3684     -0.3428
        3685     0.05066
        3686     -0.1486
        3687       1.264
        3688     -0.4183
        3689      0.3992
        3690     -0.4177
        3691     -0.3837
        3692    -0.09109
        3693      0.8433
        3694     -0.5827
        3695      0.6192
        3696     -0.3898
        3697     -0.8528
        3698      0.1342
        3699    0.009783
        3700      -0.529
        3701      -1.614
        3702     -0.6849
        3703       0.021
        3704      0.9465
        3705       1.988
        3706     -0.8459
        3707      -1.874
        3708      0.4855
        3709        1.51
        3710       1.365
        3711     -0.3101
        3712        0.27
        3713       1.761
        3714    -0.08333
        3715    -0.01878
        3716      0.3487
        3717       0.548
        3718      -1.945
        3719     -0.6292
        3720      -1.441
        3721      -1.528
        3722      -1.846
        3723       1.737
        3724      0.6712
        3725      0.8344
        3726      0.2888
        3727      0.2111
        3728        -1.9
        3729     -0.9681
        3730      0.2858
        3731     -0.1768
        3732     -0.6063
        3733      -1.348
        3734       1.488
        3735      0.4422
        3736    -0.06992
        3737       1.098
        3738       1.905
        3739      0.6985
        3740     -0.8594
        3741        2.02
        3742       2.648
        3743       0.108
        3744      -1.105
        3745      0.2458
        3746     -0.0446
        3747     -0.8445
        3748       1.092
        3749     -0.5105
        3750      0.3392
        3751     -0.9063
        3752      0.1513
        3753      0.4636
        3754       1.246
        3755       1.793
        3756      -1.282
        3757      0.3229
        3758     -0.8455
        3759     -0.6303
        3760      -1.413
        3761       1.801
        3762       0.511
        3763     -0.3415
        3764     0.07666
        3765      0.5462
        3766      0.2498
        3767      -1.673
        3768     -0.4331
        3769      0.7409
        3770    -0.05536
        3771     -0.5444
        3772     -0.4078
        3773     -0.0176
        3774     -0.7586
        3775       -0.91
        3776     -0.7284
        3777     -0.7823
        3778     -0.8726
        3779     -0.8987
        3780     -0.1778
        3781     -0.1563
        3782     -0.8627
        3783      0.2889
        3784     -0.2925
        3785     -0.4128
        3786     -0.2642
        3787     0.04265
        3788     -0.5072
        3789      0.0165
        3790     0.07247
        3791     -0.5189
        3792      0.7119
        3793       1.209
        3794      -0.581
        3795        -1.3
        3796      0.2941
        3797       1.045
        3798      0.3723
        3799      0.1047
        3800      0.2264
        3801       0.191
        3802      0.8264
        3803      -1.872
        3804      0.8022
        3805     -0.7465
        3806      0.1042
        3807      0.2938
        3808     -0.3388
        3809      -1.444
        3810     -0.6693
        3811      0.4021
        3812     -0.4887
        3813     -0.5921
        3814       0.212
        3815      0.7448
        3816      0.6355
        3817      0.2349
        3818      0.9526
        3819      0.3328
        3820     -0.8574
        3821     -0.5906
        3822     -0.1184
        3823      0.8599
        3824       1.254
        3825       1.783
        3826      0.8543
        3827     0.08141
        3828       0.595
        3829      0.4498
        3830     -0.3534
        3831      0.6291
        3832       2.226
        3833      0.8085
        3834      0.2479
        3835      0.1675
        3836      0.3673
        3837        1.74
        3838      -1.935
        3839       1.296
        3840      0.3523
        3841      0.9853
        3842      0.6272
        3843       0.352
        3844     -0.1346
        3845       1.246
        3846     -0.4668
        3847    -0.03116
        3848      0.5767
        3849      0.2202
        3850      0.2828
        3851     -0.3946
        3852    -0.08329
        3853      0.9124
        3854      0.3723
        3855     -0.3591
        3856      0.1383
        3857     -0.1636
        3858      0.6828
        3859    -0.08692
        3860     -0.1749
        3861      -1.239
        3862     -0.6454
        3863      0.6723
        3864      0.8991
        3865     -0.5652
        3866     -0.5849
        3867     -0.1397
        3868      -0.465
        3869    -0.05971
        3870     0.09217
        3871     -0.3667
        3872     -0.6754
        3873     -0.1316
        3874      -0.677
        3875      0.1941
        3876      0.5356
