name	z	sigma(km/s)	err_sigma	FWHM(km/s)	err_FWHM	loglum1350	err_lum-	err_lum+	logM_sigma	err_M-	err_M+	logM_FWHM	err_M-	err_M+
GB6J001115p144608	4.94	3534	74	8129	221	47.19	-0.04	0.03	0.03	9.52	0.03	0.02	10.17	0.03
GB6J003126p150729	4.29	4154	295	2129	196	46.32	-0.06	0.05	0.05	9.20	0.07	0.06	8.55	0.09
GB6J012126p034646	4.13	2591	74	1548	14	46.74	-0.02	0.02	0.02	9.01	0.03	0.03	8.49	0.01
GB6J083548p182519	4.41	3575	301	5806	946	45.73	-1.05	0.28	0.28	8.75	0.57	0.16	9.10	0.59
GB6J083945p511206	4.40	3957	206	6000	193	46.68	-0.05	0.04	0.04	9.35	0.05	0.05	9.64	0.04
GB6J091825p063722	4.17	4403	148	6193	364	46.60	-0.03	0.03	0.03	9.40	0.03	0.03	9.62	0.06
GB6J102107p220904	4.26	4900	563	2710	197	45.95	-0.13	0.10	0.10	9.14	0.13	0.11	8.56	0.10
GB6J102623p254255	5.27	2624	138	4258	157	46.57	-0.11	0.09	0.09	8.93	0.07	0.06	9.28	0.06
GB6J132512p112338	4.40	2703	48	3484	61	46.48	-0.09	0.08	0.08	8.91	0.05	0.04	9.06	0.05
GB6J134811p193520	4.38	4737	472	5226	283	46.30	-0.13	0.10	0.10	9.30	0.12	0.09	9.32	0.08
GB6J141212p062408	4.37	6033	996	5419	709	46.39	-0.07	0.06	0.06	9.56	0.16	0.14	9.39	0.13
GB6J143023p420450	4.72	2746	167	6193	403	46.54	-0.09	0.07	0.07	8.95	0.07	0.06	9.59	0.07
GB6J151002p570256	4.31	2730	125	1935	105	46.35	-0.05	0.04	0.04	8.85	0.05	0.04	8.48	0.05
GB6J153533p025419	4.37	6777	818	6967	580	46.25	-0.05	0.05	0.05	9.58	0.11	0.10	9.54	0.08
GB6J161216p470311	4.33	2869	106	2710	187	46.06	-0.08	0.07	0.07	8.74	0.05	0.05	8.62	0.08
GB6J162956p095959	4.97	1810	245	3290	388	46.19	-0.05	0.05	0.05	8.41	0.13	0.11	8.86	0.11
GB6J164856p460341	5.36	2678	26	4451	64	46.25	-0.05	0.05	0.05	8.78	0.03	0.03	9.15	0.03
GB6J171103p383016	3.98	4454	363	2322	60	46.03	-0.07	0.06	0.06	9.10	0.08	0.07	8.47	0.04
GB6J235758p140205	4.25	4100	185	7161	355	46.24	-0.05	0.04	0.04	9.14	0.05	0.04	9.56	0.05
