name	z	sigma	sigmaerr	fwhm	fwhmerr	lum1350	lum1350err+	lum1350err-	flux5GHz	line_lum	tline_lumerr	EW	EWerr	blueshift	errblueshift	blueshift_Coatman	err_Coatman
GB6J001115+144608	4.94	5169	124	7950	417	47.20	0.03	-0.04	31	45.133	0.009	15.22	0.31	3358	280	1892	93
GB6J003126+150729	4.29	5115	93	2451	83	46.29	0.06	-0.06	93	44.553	0.007	29.29	0.48	1325	184	666	53
GB6J012126+034646	4.13	2542	61	1622	20	46.73	0.02	-0.02	51	44.931	0.002	24.92	0.12	975	2376	278	18
GB6J083548+182519	4.41	4482	144	4686	349	45.83	0.24	-0.56	40	44.514	0.009	85.14	1.83	3509	184	2293	95
GB6J083945+511206	4.40	2896	48	5555	80	46.73	0.04	-0.04	51	44.819	0.004	19.55	0.17	2411	269	1240	26
GB6J091825+063722	4.17	4292	142	6327	159	46.59	0.04	-0.04	36	44.635	0.008	17.88	0.32	1877	408	87	67
GB6J102107+220904	4.26	2572	78	2465	83	45.93	0.11	-0.14	108	44.396	0.007	42.39	0.67	899	58	432	29
GB6J102623+254255	5.27	3695	56	5093	182	46.68	0.07	-0.08	142	45.113	0.005	46.92	0.49	1282	27	933	32
GB6J132512+112338	4.40	2713	27	3584	42	46.49	0.08	-0.09	62	45.096	0.002	69.56	0.33	328	34	-14	18
GB6J134811+193520	4.38	4811	294	5036	210	46.36	0.08	-0.09	38	44.475	0.011	22.38	0.58	1993	347	1137	66
GB6J141212+062408	4.37	4516	134	5983	706	46.45	0.05	-0.06	34	44.176	0.012	10.26	0.28	-354	162	-608	90
GB6J143023+420450	4.72	3379	90	7918	211	46.56	0.07	-0.08	337	44.487	0.010	12.57	0.28	983	80	991	81
GB6J151002+570256	4.31	2886	63	2005	49	46.38	0.04	-0.04	292	44.649	0.005	30.26	0.38	1078	67	590	26
GB6J153533+025419	4.37	3826	144	7749	348	46.26	0.05	-0.05	53	44.167	0.012	12.53	0.36	9483	595	3465	100
GB6J161216+470311	4.33	2520	75	2941	152	46.06	0.07	-0.08	30	44.216	0.008	23.66	0.45	-348	42	-829	38
GB6J162956+095959	4.97	1787	163	3112	376	46.24	0.04	-0.05	33	43.772	0.024	5.54	0.31	2710	418	1249	97
GB6J164856+460341	5.36	3181	33	7682	124	46.36	0.04	-0.04	0	44.678	0.005	70.68	0.78	2710	163	797	35
GB6J171103+383016	3.98	1782	42	2176	26	46.04	0.06	-0.07	36	44.254	0.004	22.57	0.20	1500	66	506	20
GB6J235758+140205	4.25	4151	120	7631	241	46.28	0.04	-0.04	78	44.286	0.006	16.13	0.22	5613	1100	857	58
